Curated Gene Symbol	Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	Gene Accession	Gene Name	GO Annotation	Sex-bias	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)	Composite array score
DTNA	A_23_P208158	chr18:32409006-32409065	DTNA	NM_001392	Dystrobrevin, alpha	molecular function|calcium ion binding|IEA|GO:0005509|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|11353857//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|neuromuscular synaptic transmission|TAS|GO:0007274|GOA|9119373//biological process|signal transduction|TAS|GO:0007165|GOA|10767327//biological process|striated muscle contraction|TAS|GO:0006941|GOA|10767327//biological process|synaptic transmission|TAS|GO:0007268|GOA|8845841//cellular component|cell junction|IEA|GO:0030054|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|synapse|IEA|GO:0045202|GOA|na	M	1.1978	1.1978	0.0007	72.5414	87.0961	12
ZNF432	A_23_P208210	chr19:52536789-52536848	ZNF432	NM_014650	Zinc finger protein 432	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	M	1.1947	1.1947	3.32E-09	90.9889	108.6647	13
KLHL29	A_23_P209360	chr2:23931309-23931368	KLHL29	NM_052920	Kelch-like 29 (Drosophila)	molecular function|protein binding|IEA|GO:0005515|GOA|na	F	0.6207	-1.6112	2.34E-06	1228.1542	767.7133	13
FZD7	A_23_P209449	chr2:202902930-202902989	FZD7	NM_003507	Frizzled homolog 7 (Drosophila)	molecular function|G-protein coupled receptor activity|IEA|GO:0004930|GOA|na//molecular function|Wnt receptor activity|TAS|GO:0042813|GOA|9707618//molecular function|non-G-protein coupled 7TM receptor activity|IEA|GO:0004926|GOA|na//biological process|G-protein coupled receptor protein signaling pathway|IEA|GO:0007186|GOA|na//biological process|Wnt receptor signaling pathway|IEA|GO:0016055|GOA|na//biological process|multicellular organismal development|IEA|GO:0007275|GOA|na//biological process|signal transduction|IEA|GO:0007165|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|plasma membrane|IDA|GO:0005886|GOA|11256614	F	0.8208	-1.2184	0.000059185	342.9496	277.05	12
PAX8	A_23_P210001	chr2:113975025-113975084	PAX8	NM_013992	Paired box 8	molecular function|DNA binding|IDA|GO:0003677|GOA|8861958//molecular function|protein binding|ISS|GO:0005515|GOA|na//molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|thyroid-stimulating hormone receptor activity|TAS|GO:0004996|GOA|9590296//molecular function|transcription activator activity|ISS|GO:0016563|GOA|na//molecular function|transcription factor activity|TAS|GO:0003700|GOA|10377248//biological process|anatomical structure morphogenesis|TAS|GO:0009653|GOA|9590296//biological process|cell differentiation|IEA|GO:0030154|GOA|na//biological process|metanephros development|IEA|GO:0001656|GOA|na//biological process|multicellular organismal development|IEA|GO:0007275|GOA|na//biological process|positive regulation of transcription from RNA polymerase II promoter|IEA|GO:0045944|GOA|na//biological process|positive regulation of transcription, DNA-dependent|ISS|GO:0045893|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//biological process|thyroid gland development|IEA|GO:0030878|GOA|na//cellular component|nucleoplasm|ISS|GO:0005654|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	M	1.1976	1.1976	2.60E-09	103.4185	124.7152	13
CYP26B1	A_23_P210100	chr2:72356479-72356538	CYP26B1	NM_019885	Cytochrome P450, family 26, subfamily B, polypeptide 1	molecular function|electron carrier activity|IEA|GO:0009055|GOA|na//molecular function|heme binding|NAS|GO:0020037|GOA|10823918//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|retinoic acid 4-hydroxylase activity|EXP|GO:0008401|GOA|10823918//molecular function|retinoic acid 4-hydroxylase activity|IDA|GO:0008401|GOA|10823918//molecular function|retinoic acid binding|IDA|GO:0001972|GOA|10823918//biological process|cell fate determination|ISS|GO:0001709|GOA|na//biological process|embryonic limb morphogenesis|ISS|GO:0030326|GOA|na//biological process|male meiosis|ISS|GO:0007140|GOA|na//biological process|negative regulation of retinoic acid receptor signaling pathway|TAS|GO:0048387|GOA|14532297//biological process|oxidation reduction|IDA|GO:0055114|GOA|10823918//biological process|proximal/distal pattern formation|ISS|GO:0009954|GOA|na//biological process|retinoic acid catabolic process|IDA|GO:0034653|GOA|10823918//biological process|spermatogenesis|ISS|GO:0007283|GOA|na//cellular component|endoplasmic reticulum|NAS|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|EXP|GO:0005789|GOA|10823918//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|microsome|IDA|GO:0005792|GOA|10823918	M	1.3469	1.3469	1.62E-06	237.7462	319.9644	12
PI3	A_23_P210465	chr20:43804645-43804704	PI3	NM_002638	Peptidase inhibitor 3, skin-derived	molecular function|endopeptidase inhibitor activity|TAS|GO:0004866|GOA|2394696//molecular function|protein binding|TAS|GO:0005515|GOA|7685029//molecular function|serine-type endopeptidase inhibitor activity|IEA|GO:0004867|GOA|na//biological process|copulation|IEA|GO:0007620|GOA|na//cellular component|extracellular region|IEA|GO:0005576|GOA|na//cellular component|proteinaceous extracellular matrix|TAS|GO:0005578|GOA|8476637	M	1.2841	1.2841	1.95E-06	42.8679	55.8974	13
SYCP2	A_23_P210675	chr20:58440630-58440689	SYCP2	NM_014258	Synaptonemal complex protein 2	molecular function|DNA binding|NAS|GO:0003677|GOA|ARRAY(0x1a486b4)//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|protein heterodimerization activity|IEA|GO:0046982|GOA|na//biological process|apoptosis|IEA|GO:0006915|GOA|na//biological process|cell cycle|IEA|GO:0007049|GOA|na//biological process|cell division|IEA|GO:0051301|GOA|na//biological process|female meiosis|IEA|GO:0007143|GOA|na//biological process|fertilization|IEA|GO:0009566|GOA|na//biological process|male genitalia morphogenesis|IEA|GO:0048808|GOA|na//biological process|male meiosis|IEA|GO:0007140|GOA|na//biological process|meiotic prophase I|NAS|GO:0007128|GOA|9592139//biological process|organ morphogenesis|IEA|GO:0009887|GOA|na//biological process|synaptonemal complex assembly|NAS|GO:0007130|GOA|10341103//cellular component|lateral element|IEA|GO:0000800|GOA|na//cellular component|nucleus|NAS|GO:0005634|GOA|10341103//cellular component|synaptonemal complex|NAS|GO:0000795|GOA|ARRAY(0x1a0ad58)	M	1.2266	1.2266	3.42E-08	56.9369	70.2509	13
FBLN1	A_23_P211631	chr22:45996933-45996992	FBLN1	NM_006486	Fibulin 1	molecular function|calcium ion binding|IEA|GO:0005509|GOA|na//molecular function|extracellular matrix structural constituent|TAS|GO:0005201|GOA|2269669//molecular function|protein binding|IPI|GO:0005515|GOA|17353931//biological process|interspecies interaction between organisms|IEA|GO:0044419|GOA|na//cellular component|extracellular region|NAS|GO:0005576|GOA|14718574//cellular component|extracellular space|TAS|GO:0005615|GOA|2269669//cellular component|proteinaceous extracellular matrix|IEA|GO:0005578|GOA|na//cellular component|soluble fraction|TAS|GO:0005625|GOA|2269669	F	0.7644	-1.3081	0.000016641	1476.6119	1124.052	12
	A_23_P211762	chr3:99515261-99515320					M	1.166	1.166	0.004	27.5416	32.2986	13
ZXDC	A_23_P211829	chr3:126180030-126180089	ZXDC	NM_001040653	ZXD family zinc finger C	molecular function|C2H2 zinc finger domain binding|IPI|GO:0070742|GOA|17493635//molecular function|LRR domain binding|IPI|GO:0030275|GOA|16600381//molecular function|identical protein binding|IPI|GO:0042802|GOA|17493635//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|nucleic acid binding|IEA|GO:0003676|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x2ea38ac)//molecular function|transcription activator activity|IDA|GO:0016563|GOA|17696781//molecular function|transcription factor activity|IMP|GO:0003700|GOA|17493635//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|positive regulation of transcription|IMP|GO:0045941|GOA|ARRAY(0x2a2a214)//cellular component|cellular_component|ND|GO:0005575|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	F	0.7552	-1.3241	3.79E-07	181.8098	136.2662	13
HRH1	A_23_P212179	chr3:11302202-11302261	HRH1	NM_001098213	Histamine receptor H1	molecular function|G-protein coupled receptor activity|IEA|GO:0004930|GOA|na//molecular function|histamine receptor activity|IEA|GO:0004969|GOA|na//molecular function|receptor activity|IEA|GO:0004872|GOA|na//biological process|G-protein coupled receptor protein signaling pathway|EXP|GO:0007186|GOA|18240029//biological process|activation of phospholipase C activity by G-protein coupled receptor protein signaling pathway coupled to IP3 second messenger|TAS|GO:0007200|GOA|8280179//biological process|inflammatory response|TAS|GO:0006954|GOA|10818238//biological process|positive regulation of nitric oxide biosynthetic process|IEA|GO:0045429|GOA|na//biological process|signal transduction|IEA|GO:0007165|GOA|na//biological process|synaptic transmission|IEA|GO:0007268|GOA|na//cellular component|integral to plasma membrane|TAS|GO:0005887|GOA|7925364//cellular component|plasma membrane|IEA|GO:0005886|GOA|na	F	0.783	-1.2771	3.62E-06	51.998	40.2914	13
PARM1	A_23_P212779	chr4:75972409-75972468	PARM1	NM_015393	Prostate androgen-regulated mucin-like protein 1	biological process|positive regulation of telomerase activity|ISS|GO:0051973|GOA|na//cellular component|Golgi apparatus|IDA|GO:0005794|GOA|18027867//cellular component|Golgi membrane|IEA|GO:0000139|GOA|na//cellular component|early endosome|IDA|GO:0005769|GOA|18027867//cellular component|endosome membrane|IEA|GO:0010008|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|late endosome|IDA|GO:0005770|GOA|18027867//cellular component|plasma membrane|IDA|GO:0005886|GOA|18027867	F	0.7815	-1.2795	0.000010506	76.8778	59.7839	12
UGT2A1	A_23_P212954	chr4:70512766-70512825	UGT2A1	NM_006798	UDP glucuronosyltransferase 2 family, polypeptide A1	molecular function|glucuronosyltransferase activity|IEA|GO:0015020|GOA|na//biological process|detection of chemical stimulus|TAS|GO:0009593|GOA|10359671//biological process|metabolic process|IEA|GO:0008152|GOA|na//biological process|response to stimulus|IEA|GO:0050896|GOA|na//biological process|sensory perception of smell|IEA|GO:0007608|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	M	1.2445	1.2445	8.67E-10	276.1826	343.4451	12
DNAJB14	A_23_P213199	chr4:100822036-100822095	DNAJB14	NM_001031723	DnaJ (Hsp40) homolog, subfamily B, member 14	molecular function|heat shock protein binding|IEA|GO:0031072|GOA|na//molecular function|unfolded protein binding|IEA|GO:0051082|GOA|na//biological process|protein folding|IEA|GO:0006457|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	0.7121	-1.4044	0.000030228	1891.2368	1319.7924	13
PRPH2	A_23_P214459	chr6:42664496-42664555	PRPH2	NM_000322	Peripherin 2 (retinal degeneration, slow)	molecular function|protein binding|IEA|GO:0005515|GOA|na//biological process|cell adhesion|IEA|GO:0007155|GOA|na//biological process|response to stimulus|IEA|GO:0050896|GOA|na//biological process|retina development in camera-type eye|IEA|GO:0060041|GOA|na//biological process|visual perception|IEA|GO:0007601|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	M	1.2551	1.2551	0.0029	10.3789	13.2282	13
PBX2	A_23_P214658	chr6_ssto_hap7:3500549-3500608	PBX2	NM_002586	Pre-B-cell leukemia homeobox 2	molecular function|chromatin binding|IEA|GO:0003682|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|14667819//molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//biological process|embryonic limb morphogenesis|IEA|GO:0030326|GOA|na//biological process|positive regulation of transcription from RNA polymerase II promoter|IEA|GO:0045944|GOA|na//biological process|proximal/distal pattern formation|IEA|GO:0009954|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na//cellular component|transcription factor complex|IEA|GO:0005667|GOA|na	F	0.8438	-1.1851	0.0001	213.7993	178.9316	12
RREB1	A_23_P214866	chr6:7249893-7249952	RREB1	NM_001168344	Ras responsive element binding protein 1	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|transcription activator activity|TAS|GO:0016563|GOA|9305772//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|Ras protein signal transduction|TAS|GO:0007265|GOA|8816445//biological process|multicellular organismal development|TAS|GO:0007275|GOA|8816445//biological process|regulation of transcription, DNA-dependent|TAS|GO:0006355|GOA|9305772//biological process|transcription from RNA polymerase II promoter|TAS|GO:0006366|GOA|8816445//cellular component|cytoplasm|TAS|GO:0005737|GOA|9305772//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nuclear body|TAS|GO:0016604|GOA|9305772//cellular component|nuclear speck|IEA|GO:0016607|GOA|na//cellular component|nucleus|TAS|GO:0005634|GOA|9305772	M	1.2205	1.2205	0.000016519	49.3122	60.5361	13
AKAP12	A_23_P214897	chr6:151670006-151670065	AKAP12	NM_144497	A kinase (PRKA) anchor protein 12	molecular function|adenylate cyclase binding|IPI|GO:0008179|GOA|17081159//molecular function|protein kinase A binding|TAS|GO:0051018|GOA|10858453//biological process|G-protein coupled receptor protein signaling pathway|TAS|GO:0007186|GOA|10858453//biological process|positive regulation of cAMP biosynthetic process|IMP|GO:0030819|GOA|17081159//biological process|positive regulation of protein kinase A signaling cascade|IMP|GO:0010739|GOA|17081159//biological process|protein targeting|IEA|GO:0006605|GOA|na//biological process|signal transduction|IEA|GO:0007165|GOA|na//cellular component|cell cortex|IEA|GO:0005938|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|cytoskeleton|IEA|GO:0005856|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|18029348//cellular component|plasma membrane|IDA|GO:0005886|GOA|18029348	F	0.6802	-1.4701	0.000094513	235.429	157.8996	12
FAM65B	A_23_P215009	chr6:24806539-24806598	FAM65B	NM_014722	Family with sequence similarity 65, member B	molecular function|binding|IEA|GO:0005488|GOA|na//biological process|cell differentiation|IEA|GO:0030154|GOA|na//biological process|multicellular organismal development|IEA|GO:0007275|GOA|na//biological process|muscle organ development|IEA|GO:0007517|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytoskeleton|IEA|GO:0005856|GOA|na//cellular component|filopodium|IEA|GO:0030175|GOA|na//cellular component|mitochondrion|IEA|GO:0005739|GOA|na	F	0.7813	-1.2799	0.0013	67.5084	52.8283	13
PSD3	A_23_P216167	chr8:18393185-18393244	PSD3	NM_206909	Pleckstrin and Sec7 domain containing 3	molecular function|ARF guanyl-nucleotide exchange factor activity|IEA|GO:0005086|GOA|na//biological process|regulation of ARF protein signal transduction|IEA|GO:0032012|GOA|na//cellular component|cell junction|IEA|GO:0030054|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|membrane fraction|IEA|GO:0005624|GOA|na//cellular component|plasma membrane|IEA|GO:0005886|GOA|na//cellular component|postsynaptic density|IEA|GO:0014069|GOA|na//cellular component|postsynaptic membrane|IEA|GO:0045211|GOA|na//cellular component|synapse|IEA|GO:0045202|GOA|na	F	0.862	-1.1601	0.0022	2277.8889	1956.9735	12
NTRK2	A_23_P216779	chr9:87425979-87426038	NTRK2	NM_001007097	Neurotrophic tyrosine kinase, receptor, type 2	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|neurotrophin binding|TAS|GO:0043121|GOA|1710174//molecular function|neurotrophin receptor activity|IEA|GO:0005030|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|transferase activity|IEA|GO:0016740|GOA|na//molecular function|transmembrane receptor protein tyrosine kinase activity|IEA|GO:0004714|GOA|na//biological process|activation of adenylate cyclase activity|EXP|GO:0007190|GOA|16805430//biological process|cell differentiation|IEA|GO:0030154|GOA|na//biological process|multicellular organismal development|IEA|GO:0007275|GOA|na//biological process|nervous system development|IEA|GO:0007399|GOA|na//biological process|protein amino acid phosphorylation|IEA|GO:0006468|GOA|na//biological process|transmembrane receptor protein tyrosine kinase signaling pathway|EXP|GO:0007169|GOA|16939974//cellular component|integral to plasma membrane|IEA|GO:0005887|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	0.6692	-1.4942	0.000088304	163.9116	107.4524	12
