Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	28 genes associated with lipid metabolism	Gene Accession	Gene Name	GO Annotation	Sex-bias	Composite array score	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)
A_23_P255884	chr9:124094771-124094830	GSN	0	NM_198252	Gelsolin (amyloidosis, Finnish type)	molecular function|actin binding|IEA|GO:0003779|GOA|na//molecular function|calcium ion binding|TAS|GO:0005509|GOA|1321812//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x1d249b4)//biological process|actin filament polymerization|IDA|GO:0030041|GOA|3020431//biological process|actin filament severing|IDA|GO:0051014|GOA|3020431//biological process|aging|IEA|GO:0007568|GOA|na//biological process|apoptosis|IEA|GO:0006915|GOA|na//biological process|barbed-end actin filament capping|TAS|GO:0051016|GOA|1321812//biological process|oligodendrocyte development|IEA|GO:0014003|GOA|na//biological process|phosphoinositide-mediated signaling|IEA|GO:0048015|GOA|na//biological process|regulation of cell adhesion|IEA|GO:0030155|GOA|na//biological process|response to cadmium ion|IEA|GO:0046686|GOA|na//biological process|response to ethanol|IEA|GO:0045471|GOA|na//biological process|response to folic acid|IEA|GO:0051593|GOA|na//biological process|tissue regeneration|IEA|GO:0042246|GOA|na//biological process|vesicle-mediated transport|IEA|GO:0016192|GOA|na//cellular component|actin cytoskeleton|TAS|GO:0015629|GOA|1321812//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytosol|IDA|GO:0005829|GOA|3020431//cellular component|extracellular region|IDA|GO:0005576|GOA|3020431//cellular component|extracellular region|NAS|GO:0005576|GOA|14718574//cellular component|extracellular space|IEA|GO:0005615|GOA|na//cellular component|lamellipodium|IEA|GO:0030027|GOA|na//cellular component|perinuclear region of cytoplasm|IEA|GO:0048471|GOA|na//cellular component|protein complex|IEA|GO:0043234|GOA|na	M	14	1.2998	1.2998	9.9637E-11	2771.136	3640.8152
A_23_P69573	chr4:156651179-156651224	GUCY1A3	0	NM_001130685	Guanylate cyclase 1, soluble, alpha 3	molecular function|GTP binding|IEA|GO:0005525|GOA|na//molecular function|guanylate cyclase activity|IEA|GO:0004383|GOA|na//molecular function|heme binding|IEA|GO:0020037|GOA|na//molecular function|ion binding|IEA|GO:0043167|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein heterodimerization activity|IEA|GO:0046982|GOA|na//molecular function|receptor activity|TAS|GO:0004872|GOA|9742212//biological process|blood circulation|TAS|GO:0008015|GOA|9742212//biological process|nitric oxide mediated signal transduction|IEA|GO:0007263|GOA|na//biological process|positive regulation of cGMP biosynthetic process|IEA|GO:0030828|GOA|na//biological process|regulation of blood pressure|IEA|GO:0008217|GOA|na//biological process|relaxation of vascular smooth muscle|IEA|GO:0060087|GOA|na//biological process|response to defense-related host nitric oxide production|IEA|GO:0052565|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|guanylate cyclase complex, soluble|IEA|GO:0008074|GOA|na	F	15	0.7969	-1.2549	1.8262E-15	1471.8224	1170.2371
A_32_P841049	chr7:19036657-19036716	HDAC9	0	NM_178425	Histone deacetylase 9	molecular function|histone deacetylase activity|IDA|GO:0004407|GOA|11535832//molecular function|histone deacetylase binding|IPI|GO:0042826|GOA|12590135//molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|12590135//molecular function|protein deacetylase activity|IDA|GO:0033558|GOA|11535832//molecular function|specific transcriptional repressor activity|IDA|GO:0016566|GOA|11535832//molecular function|transcription corepressor activity|ISS|GO:0003714|GOA|na//molecular function|transcription factor binding|IDA|GO:0008134|GOA|11535832//molecular function|transcription factor binding|IPI|GO:0008134|GOA|ARRAY(0x19fbc98)//molecular function|transcription repressor binding|IDA|GO:0070491|GOA|12590135//molecular function|transcription repressor binding|IPI|GO:0070491|GOA|17360565//molecular function|transcription repressor binding|ISS|GO:0070491|GOA|na//biological process|B cell activation|TAS|GO:0042113|GOA|12711221//biological process|B cell differentiation|TAS|GO:0030183|GOA|12711221//biological process|cellular response to insulin stimulus|IDA|GO:0032869|GOA|19303849//biological process|chromatin modification|IEA|GO:0016568|GOA|na//biological process|heart development|ISS|GO:0007507|GOA|na//biological process|histone deacetylation|IDA|GO:0016575|GOA|11535832//biological process|inflammatory response|TAS|GO:0006954|GOA|12711221//biological process|negative regulation of gene-specific transcription from RNA polymerase II promoter|IDA|GO:0010553|GOA|11535832//biological process|negative regulation of transcription from RNA polymerase II promoter|IDA|GO:0000122|GOA|10655483//biological process|peptidyl-lysine deacetylation|IDA|GO:0034983|GOA|11535832//biological process|positive regulation of cell migration involved in sprouting angiogenesis|IMP|GO:0090050|GOA|19351956//biological process|regulation of skeletal muscle fiber development|ISS|GO:0048742|GOA|na//biological process|regulation of striated muscle cell differentiation|ISS|GO:0051153|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|12590135//cellular component|cytoplasm|TAS|GO:0005737|GOA|12711221//cellular component|histone deacetylase complex|TAS|GO:0000118|GOA|12711221//cellular component|histone methyltransferase complex|ISS|GO:0035097|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|12590135//cellular component|nucleus|NAS|GO:0005634|GOA|na//cellular component|transcription factor complex|IDA|GO:0005667|GOA|ARRAY(0x15d75a0)	F	15	0.7368	-1.3572	0.0006	16.0846	11.8369
A_24_P363548	chr7:75164252-75164311	HIP1	0	NM_005338	Huntingtin interacting protein 1	molecular function|actin binding|IEA|GO:0003779|GOA|na//molecular function|clathrin binding|IDA|GO:0030276|GOA|11577110//molecular function|phosphoinositide binding|IDA|GO:0035091|GOA|14732715//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xe61da0)//molecular function|structural constituent of cytoskeleton|TAS|GO:0005200|GOA|9140394//biological process|activation of caspase activity|IDA|GO:0006919|GOA|11788820//biological process|apoptosis|IDA|GO:0006915|GOA|11788820//biological process|cell death|IEA|GO:0008219|GOA|na//biological process|cell differentiation|IEA|GO:0030154|GOA|na//biological process|clathrin coat assembly|IDA|GO:0048268|GOA|ARRAY(0xd5d7c8)//biological process|endocytosis|IEA|GO:0006897|GOA|na//biological process|induction of apoptosis|IDA|GO:0006917|GOA|11007801//biological process|positive regulation of receptor-mediated endocytosis|IMP|GO:0048260|GOA|ARRAY(0xe8942c)//biological process|regulation of apoptosis|IDA|GO:0042981|GOA|11788820//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|Golgi apparatus|IDA|GO:0005794|GOA|11788820//cellular component|clathrin coated vesicle membrane|IEA|GO:0030665|GOA|na//cellular component|clathrin-coated vesicle|IEP|GO:0030136|GOA|11517213//cellular component|cytoplasm|IDA|GO:0005737|GOA|11604514//cellular component|cytoplasmic vesicle|IEA|GO:0031410|GOA|na//cellular component|cytoskeleton|TAS|GO:0005856|GOA|9147654//cellular component|endomembrane system|IEA|GO:0012505|GOA|na//cellular component|intracellular membrane-bounded organelle|IDA|GO:0043231|GOA|18029348//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|membrane fraction|TAS|GO:0005624|GOA|9147654//cellular component|nucleus|IEA|GO:0005634|GOA|na	F	15	0.7678	-1.3024	6.4215E-06	464.3249	352.6826
A_23_P98631	chr11:18301018-18301077	HPS5	0	NM_181508	Hermansky-Pudlak syndrome 5	molecular function|protein binding|IEA|GO:0005515|GOA|na//biological process|blood coagulation|IEA|GO:0007596|GOA|na//biological process|organelle organization|IEA|GO:0006996|GOA|na//biological process|pigmentation|IEA|GO:0043473|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytosol|IEA|GO:0005829|GOA|na	F	16	0.7214	-1.3861	5.6668E-15	5255.1421	3787.6521
A_23_P383679	chr16:70841688-70841747	HYDIN	0	NM_032821	Hydrocephalus inducing homolog (mouse)	biological process|multicellular organismal development|IEA|GO:0007275|GOA|na	F	16	0.349	-2.8652	1.4994E-43	115.8635	39.0685
A_24_P398572	chr12:102789726-102789785	IGF1	1	NM_001111284	Insulin-like growth factor 1 (somatomedin C)	molecular function|growth factor activity|IEA|GO:0008083|GOA|na//molecular function|hormone activity|IDA|GO:0005179|GOA|7188854//molecular function|hormone activity|IEA|GO:0005179|GOA|na//molecular function|insulin receptor binding|IPI|GO:0005158|GOA|8452530//molecular function|insulin-like growth factor receptor binding|IPI|GO:0005159|GOA|8452530//molecular function|insulin-like growth factor receptor binding|TAS|GO:0005159|GOA|10749889//molecular function|protein binding|IPI|GO:0005515|GOA|10766744//biological process|DNA replication|TAS|GO:0006260|GOA|10766744//biological process|Ras protein signal transduction|TAS|GO:0007265|GOA|10848592//biological process|anti-apoptosis|IDA|GO:0006916|GOA|16942485//biological process|branching morphogenesis of a tube|IEA|GO:0048754|GOA|na//biological process|cellular component movement|TAS|GO:0006928|GOA|10766744//biological process|chondroitin sulfate proteoglycan biosynthetic process|IEA|GO:0050650|GOA|na//biological process|glial cell differentiation|IEA|GO:0010001|GOA|na//biological process|glycolate metabolic process|TAS|GO:0009441|GOA|10448861//biological process|mammary gland development|IEA|GO:0030879|GOA|na//biological process|muscle hypertrophy|IMP|GO:0014896|GOA|10191278//biological process|muscle organ development|TAS|GO:0007517|GOA|10448861//biological process|myoblast differentiation|IDA|GO:0045445|GOA|17531227//biological process|myoblast proliferation|IDA|GO:0051450|GOA|17531227//biological process|myotube cell development|IDA|GO:0014904|GOA|17531227//biological process|negative regulation of smooth muscle cell apoptosis|IDA|GO:0034392|GOA|16942485//biological process|nervous system development|IEA|GO:0007399|GOA|na//biological process|organ morphogenesis|IEA|GO:0009887|GOA|na//biological process|phosphoinositide-mediated signaling|IDA|GO:0048015|GOA|7692086//biological process|positive regulation of DNA replication|IDA|GO:0045740|GOA|ARRAY(0xb392e0)//biological process|positive regulation of DNA replication|ISS|GO:0045740|GOA|na//biological process|positive regulation of Ras protein signal transduction|IDA|GO:0046579|GOA|9722506//biological process|positive regulation of cell proliferation|IDA|GO:0008284|GOA|ARRAY(0xf8d7e0)//biological process|positive regulation of epithelial cell proliferation|IDA|GO:0050679|GOA|7188854//biological process|positive regulation of fibroblast proliferation|IDA|GO:0048146|GOA|7188854//biological process|positive regulation of gene-specific transcription|IDA|GO:0043193|GOA|9722506//biological process|positive regulation of glycolysis|IDA|GO:0045821|GOA|7688386//biological process|positive regulation of granule cell precursor proliferation|IEA|GO:0021940|GOA|na//biological process|positive regulation of insulin-like growth factor receptor signaling pathway|IDA|GO:0043568|GOA|ARRAY(0x19f1924)//biological process|positive regulation of mitosis|IDA|GO:0045840|GOA|7188854//biological process|positive regulation of peptidyl-tyrosine phosphorylation|IDA|GO:0050731|GOA|7782332//biological process|positive regulation of phosphoinositide 3-kinase cascade|IDA|GO:0014068|GOA|7688386//biological process|positive regulation of smooth muscle cell migration|IDA|GO:0014911|GOA|10766744//biological process|positive regulation of smooth muscle cell proliferation|IDA|GO:0048661|GOA|ARRAY(0x13efeb4)//biological process|positive regulation of transcription from RNA polymerase II promoter|IEA|GO:0045944|GOA|na//biological process|positive regulation of tyrosine phosphorylation of Stat5 protein|IDA|GO:0042523|GOA|9722506//biological process|proteoglycan biosynthetic process|IDA|GO:0030166|GOA|12746903//biological process|regulation of multicellular organism growth|IEP|GO:0040014|GOA|8421089//biological process|regulation of protein metabolic process|IEA|GO:0051246|GOA|na//biological process|regulation of steroid hormone receptor signaling pathway|IDA|GO:0033143|GOA|10459853//biological process|satellite cell maintenance involved in skeletal muscle regeneration|IDA|GO:0014834|GOA|17531227//biological process|signal transduction|TAS|GO:0007165|GOA|10448861//biological process|skeletal system development|TAS|GO:0001501|GOA|10448861//biological process|water homeostasis|IEA|GO:0030104|GOA|na//cellular component|extracellular region|EXP|GO:0005576|GOA|2752154//cellular component|extracellular region|NAS|GO:0005576|GOA|14718574//cellular component|extracellular space|IDA|GO:0005615|GOA|ARRAY(0xfb1034)//cellular component|insulin-like growth factor binding protein complex|IC|GO:0016942|GOA|10766744//cellular component|platelet alpha granule lumen|EXP|GO:0031093|GOA|2752154	M	16	1.3878	1.3878	4.2705E-24	5998.355	8495.7373
A_23_P62607	chr1:24446304-24446362	IL22RA1	0	NM_021258	Interleukin 22 receptor, alpha 1	molecular function|interferon receptor activity|TAS|GO:0004904|GOA|10875937//molecular function|receptor activity|IEA|GO:0004872|GOA|na//biological process|biological_process|ND|GO:0008150|GOA|na//biological process|blood coagulation|IEA|GO:0007596|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|NAS|GO:0016020|GOA|na	F	16	0.706	-1.4163	0	793.6582	559.1578
A_24_P275585	chr15:67793350-67793409	IQCH	0	NM_001031715	IQ motif containing H		M	15	1.2053	1.2053	4.0842E-06	72.8196	87.8956
A_24_P246361	chr5:75993810-75993861	IQGAP2	0	NM_006633	IQ motif containing GTPase activating protein 2	molecular function|GTPase inhibitor activity|TAS|GO:0005095|GOA|8756646//molecular function|Ras GTPase activator activity|IEA|GO:0005099|GOA|na//molecular function|actin binding|TAS|GO:0003779|GOA|8756646//molecular function|calmodulin binding|IEA|GO:0005516|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|17353931//biological process|regulation of small GTPase mediated signal transduction|IEA|GO:0051056|GOA|na//biological process|signal transduction|IEA|GO:0007165|GOA|na//cellular component|actin cytoskeleton|TAS|GO:0015629|GOA|8756646//cellular component|intracellular|IEA|GO:0005622|GOA|na	F	16	0.7919	-1.2628	8.2497E-12	11156.5889	8786.3721
A_24_P59722	chr2:24521602-24521661	ITSN2	0	NM_147152	Intersectin 2	molecular function|Rho guanyl-nucleotide exchange factor activity|IEA|GO:0005089|GOA|na//molecular function|SH3/SH2 adaptor activity|TAS|GO:0005070|GOA|9630982//molecular function|calcium ion binding|IEA|GO:0005509|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x2eb8028)//biological process|endocytosis|IEA|GO:0006897|GOA|na//biological process|regulation of Rho protein signal transduction|IEA|GO:0035023|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na	F	16	0.7069	-1.4147	1.2411E-09	1576.2722	1088.7635
A_23_P201538	chr1:59247729-59247788	JUN	0	NM_002228	Jun oncogene	molecular function|DNA binding|TAS|GO:0003677|GOA|2825349//molecular function|R-SMAD binding|IPI|GO:0070412|GOA|9732876//molecular function|RNA polymerase II transcription factor activity|IEA|GO:0003702|GOA|na//molecular function|Rho GTPase activator activity|IDA|GO:0005100|GOA|11804590//molecular function|double-stranded DNA binding|IEA|GO:0003690|GOA|na//molecular function|promoter binding|IDA|GO:0010843|GOA|9732876//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xf93714)//molecular function|protein dimerization activity|IEA|GO:0046983|GOA|na//molecular function|transcription factor activity|IDA|GO:0003700|GOA|9732876//molecular function|transcription factor binding|IPI|GO:0008134|GOA|16007074//biological process|SMAD protein nuclear translocation|IDA|GO:0007184|GOA|9732876//biological process|SMAD protein signal transduction|IDA|GO:0060395|GOA|9732876//biological process|aging|IEA|GO:0007568|GOA|na//biological process|angiogenesis|IEA|GO:0001525|GOA|na//biological process|cellular process|IEA|GO:0009987|GOA|na//biological process|cellular response to potassium ion starvation|IEA|GO:0051365|GOA|na//biological process|circadian rhythm|IEA|GO:0007623|GOA|na//biological process|leading edge cell differentiation|IEA|GO:0035026|GOA|na//biological process|learning|IEA|GO:0007612|GOA|na//biological process|membrane depolarization|IEA|GO:0051899|GOA|na//biological process|negative regulation of cell proliferation|IEA|GO:0008285|GOA|na//biological process|negative regulation of protein amino acid autophosphorylation|IEA|GO:0031953|GOA|na//biological process|positive regulation of DNA replication|IEA|GO:0045740|GOA|na//biological process|positive regulation of monocyte differentiation|IEA|GO:0045657|GOA|na//biological process|positive regulation of neuron apoptosis|IEA|GO:0043525|GOA|na//biological process|positive regulation of smooth muscle cell proliferation|IEA|GO:0048661|GOA|na//biological process|positive regulation of transcription|IDA|GO:0045941|GOA|9732876//biological process|positive regulation of transcription from RNA polymerase II promoter|IEA|GO:0045944|GOA|na//biological process|regulation of cell cycle|IEA|GO:0051726|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//biological process|release of cytochrome c from mitochondria|IEA|GO:0001836|GOA|na//biological process|response to cAMP|IEA|GO:0051591|GOA|na//biological process|response to cytokine stimulus|IEA|GO:0034097|GOA|na//biological process|response to drug|IEA|GO:0042493|GOA|na//biological process|response to hydrogen peroxide|IEA|GO:0042542|GOA|na//biological process|response to lipopolysaccharide|IEA|GO:0032496|GOA|na//biological process|response to mechanical stimulus|IEA|GO:0009612|GOA|na//biological process|response to organic cyclic substance|IEA|GO:0014070|GOA|na//biological process|transforming growth factor beta receptor signaling pathway|IDA|GO:0007179|GOA|9732876//cellular component|cytosol|EXP|GO:0005829|GOA|9030721//cellular component|nuclear chromatin|IEA|GO:0000790|GOA|na//cellular component|nuclear chromosome|TAS|GO:0000228|GOA|10918580//cellular component|nucleus|IEA|GO:0005634|GOA|na//cellular component|transcription factor complex|IEA|GO:0005667|GOA|na	F	14	0.7162	-1.3963	1.2861E-09	1925.2638	1378.7843
