probe set	gene	Accession	EntrezGene	CEF NY315/CEF RCAS	t statistic	P value	CEF SRA/CEF RCAS	t statistic	P value	CEF SRA/CEF NY315	t statistic	P value
Gga.19378.1.S1_at	Finished cDNA, clone ChEST761o6	CR406622.1		-0.31	-1.206	0.324583	1.83	4.332	0.018391	2.13	4.508	0.007952
Gga.19396.1.S1_at	RCJMB04_6n2: RAB22A, member RAS oncogene family	BU385463	419318	1.74	3.659	0.028468	0.65	0.911	0.405159	-1.1	-1.708	0.162145
Gga.19398.1.S1_at	LOC419595: similar to Chain A, Crystal Structure Of Soluble Form Of Clic4	BU208985	419595	-0.96	-2.568	0.122247	-1	-4.381	0.020315	-0.04	-0.103	0.923458
Gga.19407.1.S1_at	Finished cDNA, clone ChEST751d6	CR407095.1		-0.55	-4.923	0.008482	-1.53	-6.542	0.004026	-0.98	-4.112	0.016123
Gga.19409.1.S1_at	LOC418752: similar to Collagen alpha-2(IV) chain	BU312654	418752	-0.97	-5.712	0.011489	-1.53	-10.739	0.000173	-0.56	-2.872	0.042801
Gga.19409.1.S1_s_at	LOC418752: similar to Collagen alpha-2(IV) chain	BU312654	418752	-0.53	-3.614	0.056032	-1.24	-6.913	0.004609	-0.71	-3.132	0.025886
Gga.19430.1.S1_s_at	Gga.19430.1	CR406907.1		-1.43	-12.129	0.001333	-0.93	-3.697	0.029661	0.5	1.856	0.137052
Gga.19439.1.S1_at	Finished cDNA, clone ChEST643d13	BU259119		-1.06	-3.917	0.017335	-2.88	-10.56	0.000147	-1.83	-6.579	0.00137
Gga.19449.1.S1_at	Finished cDNA, clone ChEST746n22	CR407090.1		-0.58	-2.439	0.071822	-1.26	-4.883	0.004547	-0.68	-2.524	0.05314
Gga.1945.1.S1_at	LOC419015: hypothetical LOC419015	BU301457	419015	0.73	2.05	0.155917	1.3	7.173	0.000874	0.57	1.551	0.226337
Gga.19458.1.A1_at	Finished cDNA, clone ChEST788j1	CR407444.1		1.21	4.608	0.019156	0.76	2.998	0.035071	-0.45	-1.381	0.229209
Gga.19464.1.S1_at	Finished cDNA, clone ChEST168b5	BU135072		0.28	2.803	0.096582	1.26	5.951	0.008956	0.98	4.246	0.012418
Gga.19470.1.A1_at	PCID1: PCI domain containing 1 (herpesvirus entry mediator)	CD736202	421602	-1.7	-8.267	0.009447	-2	-14.464	0.000139	-0.29	-1.243	0.289143
Gga.19496.1.S1_at	LOC418370: similar to hypothetical protein LOC57821	BU364163	418370	-1.69	-24.158	0.000113	-1.88	-10.975	0.001123	-0.18	-1.035	0.362712
Gga.19520.1.S1_at	Finished cDNA, clone ChEST878j10	BU407120		-1.24	-11.795	0.000344	-1.54	-7.444	0.002382	-0.3	-1.419	0.230015
Gga.1953.2.S1_a_at	Transcribed locus, weakly similar to NP_001007666.1  secreted protein ZSIG11 [Rattus norvegicus]	BU455858		1.39	7.457	0.001785	0.64	1.433	0.234755	-0.75	-1.662	0.179925
Gga.19539.1.S1_at	Finished cDNA, clone ChEST687o12	BU352542		1.16	5.216	0.008162	0.62	1.557	0.200106	-0.54	-1.314	0.255872
Gga.19542.1.S1_at	Finished cDNA, clone ChEST687a22	CR405914.1		-1.74	-16.045	0.003412	-1.19	-10.172	0.001819	0.55	3.475	0.018206
Gga.19547.1.S1_at	Finished cDNA, clone ChEST691j23	CR406403.1		2.14	5.345	0.023655	1.15	1.558	0.183913	-0.99	-1.555	0.212491
Gga.19566.1.S1_at	Finished cDNA, clone ChEST592i1	BU280938		-1.52	-12.948	0.005579	-1.24	-6.981	0.005905	0.28	1.324	0.244954
Gga.19575.1.A1_at	RCJMB04_24e23: Similar to heterogeneous nuclear ribonucleoprotein K isoform a; dC-stretch binding protein; transformation upregulated nuclear protein	CR405986.1	426516	1.75	4.063	0.016169	-0.14	-0.138	0.897514	-1.89	-1.934	0.134998
Gga.1958.1.S1_a_at	Finished cDNA, clone ChEST970o3	CN232061		0.19	0.544	0.640296	1.24	4.876	0.015169	1.05	2.456	0.070896
Gga.19588.1.S1_at	Finished cDNA, clone ChEST617d16	BU297453		1.5	3.757	0.026689	2.68	4.322	0.008343	1.18	2.093	0.105651
Gga.19606.1.S1_at	Finished cDNA, clone ChEST612j19	BU484517		-0.63	-1.376	0.301452	-1.28	-9.005	0.001798	-0.65	-1.374	0.28476
Gga.19620.1.A1_at	Finished cDNA, clone ChEST382l11	CR406188.1		-1.13	-9.787	0.004051	-1.62	-9.245	0.001669	-0.49	-2.417	0.063019
Gga.19622.1.A1_at	Finished cDNA, clone ChEST846o6	CR406195.1		-1.34	-9.178	0.000783	-1.51	-7.796	0.000703	-0.17	-0.871	0.425828
Gga.19627.1.A1_at	Finished cDNA, clone ChEST844p7	CR406205.1		-1.05	-5.325	0.011243	-0.85	-6.691	0.001934	0.2	1.07	0.36554
Gga.19627.1.S1_at	Finished cDNA, clone ChEST844p7	CR406205.1		-1.08	-4.236	0.016317	-0.81	-4.286	0.011938	0.27	1.153	0.327312
Gga.19639.1.S1_at	LOC416803: similar to G protein coupled receptor 133	CR406282.1	416803	-0.41	-2.369	0.077719	-1.18	-6.194	0.001652	-0.78	-4.275	0.007906
Gga.1964.1.S1_at	Transcribed locus, moderately similar to XP_001063576.1  similar to myosin X [Rattus norvegicus]	BU436680		0.85	3.667	0.039163	-0.29	-1.142	0.323801	-1.14	-6.821	0.001102
Gga.19659.1.S1_at	Finished cDNA, clone ChEST867m22	BU309002		-0.03	-0.085	0.939387	-1.82	-11.394	0.000239	-1.79	-5.098	0.017193
Gga.1966.1.S1_at	LOC426341: similar to KIAA1195 protein	BU438514	426341	-1	-12.577	0.003145	-1.25	-8.987	0.000355	-0.25	-2.119	0.117675
Gga.19675.1.S1_at	Finished cDNA, clone ChEST757f24	BU204991		-1.01	-3.923	0.026878	-1.47	-5.823	0.002812	-0.46	-1.46	0.207272
Gga.19704.1.S1_at	Finished cDNA, clone ChEST722m7	CR406523.1		0.36	1.74	0.201651	1.06	8.671	0.000469	0.7	3.188	0.04667
Gga.19713.1.S1_at	Finished cDNA, clone ChEST1023l3	CR406545.1		-1.07	-12.592	0.002284	-1.65	-17.354	0.000119	-0.58	-9.658	0.000337
Gga.19725.1.S1_at	Finished cDNA, clone ChEST653g24	CR406602.1		-0.31	-1.123	0.334162	-1.38	-6.033	0.001807	-1.07	-3.733	0.019433
Gga.19728.1.S1_at	Finished cDNA, clone ChEST761l4	CR406616.1		-0.4	-1.024	0.412157	-1.53	-12.863	0.000418	-1.13	-2.811	0.088994
Gga.19734.1.S1_at	Finished cDNA, clone ChEST901p5	BU251303		0.18	0.813	0.469275	-0.85	-2.342	0.069846	-1.03	-3.104	0.03824
Gga.19737.1.S1_at	Finished cDNA, clone ChEST766e4	BU413957		-0.15	-0.458	0.670659	-1.25	-3.791	0.012799	-1.1	-3.232	0.023739
Gga.19791.1.S1_at	LRP12: low density lipoprotein-related protein 12	BU221618	420267	-1.58	-20.338	0.001427	-1.75	-28.972	0.000023	-0.17	-1.74	0.15559
Gga.19791.1.S1_s_at	LRP12: low density lipoprotein-related protein 12	BU221618	420267	-1	-3.836	0.048211	-0.76	-3.887	0.018886	0.24	0.766	0.487188
Gga.19805.1.S1_at	Finished cDNA, clone ChEST917h10	CR406871.1		-1.67	-17.179	0.001053	-1.59	-9.662	0.001642	0.08	0.424	0.69072
Gga.19806.1.S1_at	Finished cDNA, clone ChEST233a21	BU223396		1.72	5.896	0.013031	0.49	0.68	0.534682	-1.23	-1.799	0.164921
Gga.19816.1.S1_at	Finished cDNA, clone ChEST927k17	CR406902.1		0.29	0.87	0.472608	1.53	23.964	0.000009	1.24	3.75	0.061348
Gga.19836.1.A1_at	Finished cDNA, clone ChEST1002l15	CR406976.1		-0.65	-3.776	0.02211	-1.01	-4.279	0.008189	-0.36	-1.658	0.165649
Gga.19841.1.A1_at	Finished cDNA, clone ChEST1002e16	CR406989.1		-1.04	-31.816	0.000011	-1.1	-8.054	0.003072	-0.06	-0.464	0.672775
Gga.19842.1.A1_at	Finished cDNA, clone ChEST1002e22	BU204298		-0.64	-3.432	0.026981	-1.11	-7.544	0.002707	-0.47	-2.938	0.054938
Gga.19843.1.S1_s_at	RCJMB04_9b7: similar to RIKEN cDNA D030011O10 gene	BU316543	418139	-2.19	-13.985	0.002141	-2.15	-33.85	0.000003	0.04	0.256	0.819238
Gga.19853.1.S1_at	Finished cDNA, clone ChEST1010m16	CR407015.1		-0.07	-0.285	0.799548	-1.28	-4.483	0.017266	-1.22	-3.415	0.018983
Gga.19858.1.S1_at	Finished cDNA, clone ChEST1011e15	BU119290		0.64	2.446	0.096355	1.19	4.102	0.015448	0.55	2.725	0.043304
Gga.19858.1.S1_x_at	Finished cDNA, clone ChEST1011e15	BU119290		0.49	2.096	0.137628	1.24	4.382	0.009558	0.75	3.666	0.019189
Gga.1987.1.S1_a_at	LOC396202: Nr-CAM protein	NM_205266.1	396202	-0.65	-1.621	0.241142	-1.28	-6.392	0.004487	-0.63	-1.419	0.253202
Gga.19879.1.S1_at	LOC425540: similar to Lymphoid-restricted membrane protein	CR407085.1	425540	-0.95	-13.479	0.000562	-1.09	-18.794	0.000008	-0.14	-1.873	0.133625
Gga.19892.1.S1_at	Finished cDNA, clone ChEST752i24	CR407136.1		-0.92	-1.142	0.37076	-2.56	-21.74	0.000011	-1.64	-2.022	0.176371
Gga.19921.1.S1_at	NBEAL1: neurobeachin-like 1	CR407218.1	424110	0.44	2.773	0.07601	2.53	7.787	0.003315	2.09	5.974	0.003623
Gga.19928.1.A1_at	Finished cDNA, clone ChEST898k2	BU330423		-0.87	-7.218	0.00528	-1.06	-5.772	0.002303	-0.19	-1.164	0.312098
Gga.19930.1.A1_at	Finished cDNA, clone ChEST240f20	CR407249.1		-1.53	-20.948	0.000642	-1.64	-13.513	0.000555	-0.11	-0.836	0.44487
Gga.19934.1.S1_at	SNAI2: snail homolog 2 (Drosophila)	BU396459	432368	0.06	0.189	0.865206	-1.27	-3.488	0.032659	-1.33	-2.836	0.036645
Gga.19944.1.S1_at	LOC416987: similar to Coiled-coil domain containing 60	CR407313.1	416987	-1.11	-13.36	0.000183	-1.2	-18.136	0.000412	-0.09	-1.46	0.240167
Gga.19945.1.A1_at	Gga.19945.1	BU303150		-1.5	-26.177	0.000118	-1.42	-7.575	0.004149	0.08	0.417	0.701665
Gga.19948.1.S1_at	BRF2: BRF2, subunit of RNA polymerase III transcription initiation factor, BRF1-like	BU402030	426772	-1.33	-18.064	0.000505	-1.27	-10.12	0.001192	0.06	0.435	0.68351
Gga.19961.1.S1_s_at	LOC423650: similar to catenin (cadherin-associated protein), alpha 3; alpha-catenin-like protein	CR407383.1	423650	-1.23	-9.094	0.004333	-0.97	-13.924	0.00007	0.26	1.941	0.163388
Gga.19969.1.S1_at	Gga.19969.1	CR407418.1		1.25	3.164	0.034354	0.39	0.754	0.487452	-0.86	-1.613	0.170288
Gga.19980.1.S1_at	Finished cDNA, clone ChEST788b15	BU459767		-0.98	-6.843	0.005295	-2.25	-11.621	0.000382	-1.28	-5.824	0.002297
Gga.19997.1.A1_at	Finished cDNA, clone ChEST661l6	CR407535.1		-1.04	-5.027	0.017255	-1.43	-8.788	0.0004	-0.39	-1.671	0.170893
Gga.19997.1.S1_at	Finished cDNA, clone ChEST661l6	BU216310		-1.26	-5.116	0.008603	-1.35	-6.395	0.012061	-0.09	-0.573	0.606105
Gga.20008.1.S1_at	Finished cDNA, clone ChEST892d10	CR385208.1		-1.21	-5.279	0.019869	-1.15	-5.988	0.003551	0.06	0.23	0.829041
Gga.20018.1.S1_at	LOC395756: thrombomucin	BU290246	395756	-0.42	-7.428	0.00495	2.82	16.418	0.00018	3.24	19.496	0.000215
Gga.20023.1.S1_at	Finished cDNA, clone ChEST140a20	CR407487.1		0.25	2.53	0.066521	1.01	7.543	0.001102	0.76	5.435	0.00333
Gga.20050.1.S1_at	Finished cDNA, clone ChEST886o18	BU367262		0.5	3.015	0.041633	1.26	3.409	0.029463	0.76	2.095	0.113416
Gga.20053.1.S1_at	Finished cDNA, clone ChEST739p17	BU115572		-1.45	-2.693	0.083272	-2.57	-3.826	0.014273	-1.13	-2.245	0.086066
Gga.20061.1.S1_at	NINJ2: ninjurin 2	BU396151	418151	2.07	4.809	0.026186	1.93	3.042	0.028688	-0.14	-0.269	0.802934
Gga.20062.1.S1_s_at	SIPA1L2: signal-induced proliferation-associated 1 like 2	BU394425	421523	1.19	7.314	0.006659	0.11	0.232	0.828906	-1.08	-2.384	0.093516
Gga.20070.1.S1_at	MAN1A1: mannosidase, alpha, class 1A, member 1	BU125645	421726	-0.51	-1.788	0.204833	0.79	2.575	0.075999	1.31	3.168	0.025479
Gga.2013.2.A1_at	SRF: Serum response factor (c-fos serum response element-binding transcription factor)	CR389867.1	396103	-1.31	-25.177	0.000074	-1.61	-21.619	0.000004	-0.3	-4.527	0.010073
Gga.2013.2.S1_a_at	SRF: Serum response factor (c-fos serum response element-binding transcription factor)	CR389867.1	396103	-0.31	-2.407	0.113185	-1.18	-5.54	0.002838	-0.87	-4.833	0.0131
Gga.2023.1.S1_at	CIDD /// LOC416926: CIDD protein /// similar to DiGeorge syndrome critical region gene 2	BU209708	395972 /// 416926	-1.64	-16.521	0.002767	-1.36	-6.188	0.00819	0.27	1.128	0.321385
Gga.2039.1.S1_at	HMOX1: heme oxygenase (decycling) 1	NM_205344.1	396287	0.79	2.546	0.083548	1.95	8.549	0.000361	1.16	3.559	0.028212
Gga.2064.1.S1_a_at	ERG: v-ets erythroblastosis virus E26 oncogene	NM_204280.1	374146	0.09	0.485	0.662378	1.58	12.556	0.000058	1.5	7.842	0.002544
Gga.209.1.S1_a_at	WNT3A: wingless-type MMTV integration site family, member 3A	NM_204675.1	395396	-0.42	-2.852	0.065438	0.58	2.37	0.086664	1	3.712	0.01673
Gga.2098.2.S1_at	MMP16: matrix metallopeptidase 16 (membrane-inserted)	CR389196.1	396116	1.05	2.44	0.125635	1.26	3.31	0.039396	0.21	0.368	0.729387
Gga.21.1.S1_a_at	IL2RG: interleukin 2 receptor, gamma	NM_204527.1	395199	-0.99	-5.781	0.013344	-1.16	-10.251	0.000157	-0.17	-0.931	0.414996
Gga.2116.1.S1_at	Transcribed locus	BU219707		1.72	4.567	0.014983	0.99	1.914	0.128493	-0.73	-1.269	0.262083
Gga.2124.1.S1_at	Transcribed locus, weakly similar to NP_446087.1  of tumorigenicity 14 [Rattus norvegicus]	CD734562		-0.16	-1.247	0.289963	0.9	5.184	0.006355	1.05	5.543	0.002922
Gga.2134.1.S1_s_at	Finished cDNA, clone ChEST666n18 /// Finished cDNA, clone ChEST859p24	BU233308		0.69	2.973	0.075369	1.13	6.164	0.003328	0.45	1.621	0.178537
Gga.2139.1.S1_a_at	CCDC55: coiled-coil domain containing 55	BU240247	417588	0.68	5.245	0.026981	1	10.291	0.000803	0.32	2.044	0.111268
Gga.2141.2.S1_at	LOC427109: Similar to hypothetical protein DKFZp564D172	BU450776	427109	-0.87	-8.548	0.001191	-1.22	-7.354	0.001215	-0.35	-2.176	0.094048
Gga.2171.1.S1_at	Gga.2171.1	BU215544		0.69	3.872	0.053373	1.23	11.776	0.000433	0.54	2.706	0.067207
Gga.22.1.S1_at	SLC5A7: solute carrier family 5 (choline transporter), member 7	AJ511267.1	414870	0.64	8.443	0.004938	1.08	4.487	0.014567	0.44	1.904	0.149997
Gga.2295.1.S1_at	Transcribed locus	BU441755		0.05	0.201	0.850845	1.31	3.765	0.018493	1.27	3.43	0.020974
Gga.2304.1.S1_at	C-erbB oncogene mRNA activated by ALV insertion, producing a gag-env-erbB fusion protein	BU223184		-0.08	-0.326	0.773646	-1.71	-6.514	0.006345	-1.63	-4.634	0.005855
Gga.2316.1.S1_at	Gga.2316.1	BU227387		1.7	3.748	0.020615	0.38	0.529	0.623817	-1.32	-1.782	0.143291
Gga.2317.1.S1_at	LOC422605: hypothetical LOC422605	BU311742	422605	-1.81	-14.76	0.002798	-1.61	-9.765	0.001745	0.2	0.988	0.369123
Gga.2348.2.S1_at	LHX9: LIM homeobox 9	CR407573.1	396397	1.25	7.145	0.002256	1.42	2.965	0.048978	0.17	0.353	0.745237
Gga.235.1.S1_at	NPAS2: neuronal PAS domain protein 2	AF396828.1	395433	0.59	5.857	0.01737	1.07	6.753	0.001109	0.48	3.701	0.028201
Gga.2350.1.S1_s_at	RCJMB04_28h16: similar to KIAA1285 protein	BU434842	420372	-0.83	-5.765	0.007797	-1.18	-5.405	0.00318	-0.35	-1.769	0.152206
Gga.2362.1.S1_s_at	SMCR8: Smith-Magenis syndrome chromosome region, candidate 8	BX934706.2	416519	-0.52	-1.656	0.200222	-1.28	-4.107	0.027866	-0.76	-4.01	0.011239
Gga.2365.2.S1_at	RCJMB04_14g12: Structural maintenance of chromosomes 5	BU423719	431608	-1.46	-16.703	0.000082	-1.68	-13.623	0.000057	-0.22	-1.805	0.137366
Gga.2366.2.S1_at	Transcribed locus, moderately similar to NP_997713.1  RNA-binding protein [Rattus norvegicus]	BU389604		-1.66	-11.756	0.00306	-1.82	-13.014	0.000309	-0.15	-0.821	0.450844
Gga.237.1.S1_at	NR1I3: nuclear receptor subfamily 1, group I, member 3	NM_204702.1	395439	-0.54	-3.412	0.038679	-1.33	-8.066	0.001768	-0.79	-6.583	0.001221
Gga.2375.1.S1_at	CTNNA2: catenin (cadherin-associated protein), alpha 2	NM_205136.1	396035	-0.64	-2.706	0.082156	-1.58	-9.215	0.000314	-0.93	-3.558	0.027763
Gga.2375.1.S2_at	CTNNA2: catenin (cadherin-associated protein), alpha 2	BU223694	396035	-0.71	-2.283	0.133907	-2.6	-6.203	0.006771	-1.88	-3.697	0.014308
Gga.2377.1.S1_at	DEK: DEK oncogene (DNA binding)	BX264959	420828	0.78	2.428	0.105304	1.39	4.945	0.006936	0.61	1.555	0.188276
Gga.238.1.S1_at	LRRC17: leucine rich repeat containing 17	BU439727	395440	2.94	4.555	0.022027	3.64	9.283	0.000299	0.7	1.085	0.359285
Gga.2381.3.S1_at	RCJMB04_7i20: ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)	BU108195	422713	-2.05	-26.406	0.000012	-2.45	-20.68	0.000017	-0.39	-3.276	0.026442
Gga.239.1.S1_at	TLL1: tolloid-like 1	NM_204703.1	395441	-0.52	-2.058	0.159676	-1.79	-4.671	0.016249	-1.27	-2.81	0.039359
Gga.2409.1.S1_at	WDR1: WD repeat domain 1	AF020054.1	422842	-0.52	-3.808	0.021758	-1.12	-6.226	0.0026	-0.6	-3.104	0.027788
Gga.2422.2.S2_x_at	ENS-3: Pol-like protein ENS-3	AF327879.1	395341	-1.68	-18.035	0.000288	-0.45	-1.195	0.315643	1.23	3.183	0.044223
Gga.2423.1.S1_s_at	UGP2: UDP-glucose pyrophosphorylase 2	NM_204111.1	373900	-0.36	-2.364	0.121531	1.06	4.43	0.018422	1.42	5.138	0.004347
Gga.2436.1.S1_at	Transcribed locus	BU283986		0.8	3.98	0.048351	1.08	7.432	0.002509	0.28	1.182	0.304792
Gga.2437.1.S1_at	GSTT1: glutathione S-transferase theta 1	NM_205365.1	396322	-1.13	-6.111	0.003933	0.37	1.388	0.227398	1.5	5.832	0.003214
Gga.2455.2.A1_at	Finished cDNA, clone ChEST1019f6	BX934739.2		1.06	4.049	0.018708	0.34	0.847	0.445187	-0.72	-1.683	0.158814
Gga.2456.1.S1_at	Transcribed locus	BU243075		1.38	3.996	0.02339	0.28	0.452	0.672643	-1.09	-1.886	0.14003
Gga.2465.1.S1_at	Finished cDNA, clone ChEST832k3	BU356857		-0.4	-1.845	0.158758	-1.36	-9.31	0.000313	-0.96	-4.471	0.0187
Gga.247.1.S1_at	PCSK5: proprotein convertase subtilisin/kexin type 5	AJ252169.1	395456	-0.74	-5.673	0.007209	-1.8	-6.714	0.004273	-1.06	-3.791	0.019553
Gga.2513.1.S1_at	FTCD: formiminotransferase cyclodeaminase	NM_204903.1	395726	-0.36	-4.226	0.013429	-1.04	-6.201	0.003825	-0.67	-4.04	0.016971
Gga.2516.1.S1_at	PTPRG: protein tyrosine phosphatase, receptor type, G	NM_204314.1	374208	0.25	2.109	0.112909	1.28	11.149	0.000112	1.03	7.486	0.000919
Gga.2520.2.S1_at	Transcribed locus	BU365935		1.91	4.361	0.02443	1.93	4.128	0.018399	0.02	0.076	0.942648
Gga.2528.1.S1_at	Transcribed locus, strongly similar to NP_062191.1  musculoaponeurotic fibrosarcoma (avian) oncogene homolog (c-maf) [Rattus norvegicus]	BU121979		0.48	2.326	0.081405	1.25	4.198	0.011308	0.77	2.507	0.058176
Gga.2535.2.S1_a_at	Transcribed locus, weakly similar to NP_067598.1  (bacterial lantibiotic synthetase component C)-like 1 [Rattus norvegicus]	BU130679		0.59	2.734	0.05801	-0.95	-3.3	0.021617	-1.54	-5.892	0.002893
Gga.255.1.S1_at	K203: chemokine K203	NM_204720.1	395468	-0.5	-0.861	0.479172	2.28	4.423	0.020871	2.78	3.584	0.018864
Gga.2556.1.S1_at	Finished cDNA, clone ChEST870h23	CR406304.1		-1.36	-4.382	0.041388	-0.99	-2.453	0.087356	0.37	0.733	0.496645
Gga.2572.1.S1_at	LAMP2: lysosomal-associated membrane protein 2	BU323822	414800	0.3	3.414	0.067189	1.16	4.559	0.012326	0.87	3.591	0.036324
Gga.2582.1.S1_at	TGFBI: transforming growth factor, beta-induced, 68kDa	NM_205036.1	395897	-0.09	-1.737	0.174423	-4.2	-6.352	0.007678	-4.11	-6.226	0.008279
Gga.2585.1.S1_at	Finished cDNA, clone ChEST128a8	BU253979		1.09	6.389	0.015224	0.99	10.725	0.000164	-0.1	-0.533	0.631676
Gga.2587.1.S1_at	NOV: nephroblastoma overexpressed gene	NM_205268.1	396204	-0.47	-0.482	0.668231	-3.67	-6.93	0.000961	-3.2	-3.17	0.055698
Gga.2592.1.S1_at	LOC395568: alpha 1 (V) collagen	NM_204790.1	395568	0.02	0.172	0.879236	-1.89	-10.56	0.00181	-1.91	-9.418	0.000446
Gga.260.6.A1_at	ANKRD15: ankyrin repeat domain 15	AY448024.1	395475	-1.43	-14.048	0.000993	-1.54	-11	0.000651	-0.11	-0.678	0.5285
Gga.2614.1.A1_at	TMOD1: tropomodulin 1	NM_205027.1	395883	1.72	4.003	0.016501	0.47	0.66	0.542629	-1.25	-1.808	0.143102
Gga.2617.1.S1_at	MYH6: myosin, heavy polypeptide 6, cardiac muscle, alpha	NM_204766.1	395534	-0.7	-2.738	0.062902	-1.66	-5.915	0.0028	-0.95	-2.921	0.03324
Gga.2619.1.S1_at	Finished cDNA, clone ChEST504k13	BU477951		1.01	16.423	0.002642	0.83	5.2	0.013437	-0.18	-1.07	0.347819
Gga.2625.1.S1_at	RARRES1: retinoic acid receptor responder (tazarotene induced) 1	NM_204534.2	395209	-1.14	-3.444	0.034279	0.18	0.81	0.4612	1.33	4.227	0.024309
Gga.2634.1.S1_at	LOC418150: similar to N-acetylgalactosaminyltransferase	BU260893	418150	-1.31	-20.679	0.000761	-1.32	-12.914	0.000655	-0.01	-0.092	0.930264
Gga.2647.1.S1_at	RCJMB04_23g22: myotubularin related protein 2	BU296857	418992	0.57	2.04	0.120165	1.02	4.275	0.039475	0.45	2.665	0.087364
Gga.266.1.A1_at	NUMB: numb homolog (Drosophila)	AF213691.1	395639	-1.75	-42.813	0.000006	-1.89	-10.991	0.001363	-0.14	-0.787	0.484887
Gga.2668.1.S1_a_at	RARB: retinoic acid receptor, beta	NM_205326.1	396266	-0.32	-1.513	0.232894	-1.57	-6.276	0.003899	-1.25	-4.158	0.00884
Gga.2668.2.S1_at	RARB: retinoic acid receptor, beta	BU390690	396266	-0.15	-0.67	0.570109	-1.53	-5.825	0.009588	-1.38	-4.07	0.00964
Gga.2668.4.S1_a_at	RARB: retinoic acid receptor, beta	AF220162.1	396266	-1.22	-9.138	0.00162	-1.38	-15.102	0.000092	-0.16	-1.261	0.296659
Gga.2679.1.S1_at	FBLN1: fibulin 1	NM_204165.1	373979	1.05	11.358	0.000934	0.89	2.876	0.054731	-0.16	-0.526	0.633456
Gga.2680.1.S1_at	AQP1: aquaporin 1	AL586137	420384	0.46	0.557	0.62859	3.55	15.855	0.000337	3.09	3.774	0.060058
Gga.2687.1.S1_at	Transcribed locus, moderately similar to XP_001080818.1  similar to Vacuolar protein sorting 18 [Rattus norvegicus]	CN219096		1.01	6.046	0.003828	0.28	0.673	0.542227	-0.73	-1.749	0.165972
Gga.2688.1.S1_at	Finished cDNA, clone ChEST990a16	CR386633.1		-1.63	-26.2	0.000021	-1.59	-14.209	0.000216	0.04	0.358	0.738071
Gga.2690.1.S1_a_at	FZD6: frizzled homolog 6 (Drosophila)	AY283064.1	378788	1.09	2.831	0.049631	0.7	1.941	0.130757	-0.39	-1.26	0.271954
Gga.2698.1.S1_at	MYL4: myosin, light chain 4, alkali; atrial, embryonic	NM_205479.1	396472	-2.65	-9.669	0.007346	-3.51	-20.667	0.00004	-0.86	-2.764	0.061508
Gga.2722.1.S1_a_at	CKB: creatine kinase, brain	NM_205310.1	396248	-0.09	-0.19	0.8641	2.34	3.859	0.025313	2.44	3.249	0.02277
Gga.2724.1.S1_at	Finished cDNA, clone ChEST446j8	BU274023		-0.82	-3.669	0.023779	-1.89	-5.458	0.005415	-1.07	-2.93	0.03701
Gga.2731.1.S1_at	Finished cDNA, clone ChEST793k15	CR391586.1		-0.06	-0.352	0.751234	-1.09	-6.992	0.002456	-1.04	-4.976	0.004844
Gga.2737.1.S1_at	Finished cDNA, clone ChEST604g23	BU352514		-1.1	-6.185	0.011892	-0.96	-4.948	0.011292	0.15	1.216	0.279835
Gga.2756.1.S1_at	LGI1: leucine-rich, glioma inactivated 1	BU274275	423802	1.09	4.512	0.011	0.93	4.589	0.009577	-0.16	-0.718	0.514489
Gga.2758.1.S1_at	VTN: vitronectin	NM_205061.1	395935	0.87	2.568	0.10547	1.33	3.662	0.027819	0.46	0.957	0.383057
Gga.2769.1.S1_at	IL6: interleukin 6 (interferon, beta 2)	NM_204628.1	395337	-0.56	-1.929	0.174861	-2.35	-9.1	0.001272	-1.79	-4.842	0.006163
Gga.2770.2.S1_s_at	RCJMB04_16e8: similar to Protein C18orf1	BU284021	421044	-0.39	-2.721	0.109812	-1.02	-45.855	0	-0.63	-4.42	0.045499
Gga.280.1.S1_at	MAFK: v-maf musculoaponeurotic fibrosarcoma oncogene homolog K	NM_204756.1	395518	-0.53	-2.222	0.152953	-1.04	-4.546	0.018737	-0.51	-1.57	0.180605
Gga.2800.1.S1_at	SLMAP: sarcolemma associated protein	NM_205395.1	396360	-0.94	-3.466	0.069262	-2.91	-11.358	0.001143	-1.97	-5.335	0.003801
Gga.2803.1.S1_s_at	Finished cDNA, clone ChEST581b8	BU120476		-0.48	-2.277	0.088229	-1.45	-6.355	0.001817	-0.96	-4.698	0.005366
Gga.2819.1.S1_at	Finished cDNA, clone ChEST571o14	CR405749.1		-0.77	-21.869	0.00191	-1.51	-8.674	0.003215	-0.75	-4.201	0.021158
Gga.2820.1.S1_at	TRAPPC6B: Trafficking protein particle complex 6B	BU233123	423337	-0.85	-11.348	0.007397	-1.09	-6.933	0.00152	-0.24	-1.708	0.185801
Gga.2827.2.S1_a_at	TIMP3: TIMP metallopeptidase inhibitor 3	CR386544.1	396483	-0.42	-2.883	0.07894	-1.72	-7.86	0.002977	-1.29	-5.096	0.004275
Gga.2829.1.S1_at	Finished cDNA, clone ChEST888b4	BU279348		-0.35	-0.894	0.446473	-2.42	-9.886	0.000196	-2.06	-4.934	0.014174
Gga.2839.1.S1_at	COL2A1: alpha 1 type IIA collagen precursor	NM_204426.1	395069	0.06	0.616	0.593061	-1.13	-6.967	0.004943	-1.2	-6.336	0.00177
