Gene Name	Description	RefSeq ID	Fold Change	FDR
NFE2L1	Homo sapiens nuclear factor (erythroid-derived 2)-like 1 (NFE2L1), mRNA	NM_003204	1.5	216.758
CLTA	Homo sapiens clathrin, light polypeptide (Lca) (CLTA), transcript variant brain-specific, mRNA	NM_007096	1.5	113.962
DKFZP434H132	Homo sapiens cDNA FLJ46337 fis, clone TESTI4046245.	AK128205	1.5	67.771
RIPK1	Homo sapiens receptor (TNFRSF)-interacting serine-threonine kinase 1 (RIPK1), mRNA	NM_003804	1.5	17.113
PHGDH	Homo sapiens phosphoglycerate dehydrogenase (PHGDH), mRNA	NM_006623	1.5	236.307
ADARB1	Homo sapiens adenosine deaminase, RNA-specific, B1 (RED1 homolog rat) (ADARB1), transcript variant DRABA2b, mRNA	NM_015833	1.5	9.320
USP15	Homo sapiens ubiquitin specific protease 15 (USP15), mRNA	NM_006313	1.5	25.452
FBS1	Homo sapiens fibrosin 1 (FBS1), mRNA	NM_022452	1.5	25.452
PABPC3	Homo sapiens poly(A) binding protein, cytoplasmic 3 (PABPC3), mRNA	NM_030979	1.5	30.245
PP2447	Homo sapiens hypothetical protein PP2447 (PP2447), mRNA	NM_025204	1.5	50.365
RGS2	Homo sapiens regulator of G-protein signalling 2, 24kDa (RGS2), mRNA	NM_002923	1.5	15.517
LOC90637	Homo sapiens hypothetical protein LOC90637 (LOC90637), mRNA	NM_182491	1.5	19.207
FLJ14299	Homo sapiens hypothetical protein FLJ14299 (FLJ14299), mRNA	NM_025069	1.5	37.053
KIAA1387	Homo sapiens cDNA FLJ31941 fis, clone NT2RP7006701.	AK056503	1.5	68.230
INPP1	Homo sapiens inositol polyphosphate-1-phosphatase (INPP1), mRNA	NM_002194	1.5	13.461
EXOSC8	Homo sapiens exosome component 8 (EXOSC8), mRNA	NM_181503	1.5	13.977
EXOSC8	Homo sapiens exosome component 8 (EXOSC8), mRNA	NM_181503	1.5	13.977
C22orf3	Homo sapiens chromosome 22 open reading frame 3 (C22orf3), mRNA	NM_012265	1.5	34.338
GNPTG	Homo sapiens N-acetylglucosamine-1-phosphotransferase, gamma subunit (GNPTG), mRNA	NM_032520	1.5	18.129
CGI-143	Homo sapiens CGI-143 protein (CGI-143), mRNA	NM_016074	1.5	14.979
CAPN7	Homo sapiens calpain 7 (CAPN7), mRNA	NM_014296	1.5	106.070
RENT1	Homo sapiens regulator of nonsense transcripts 1 (RENT1), mRNA	NM_002911	1.5	156.452
NOB1P	Homo sapiens likely ortholog of mouse nin one binding protein (NOB1P), mRNA	NM_014062	1.5	96.655
SLC35E3	Homo sapiens solute carrier family 35, member E3 (SLC35E3), mRNA	NM_018656	1.5	15.499
PPAP2B	Homo sapiens phosphatidic acid phosphatase type 2B (PPAP2B), transcript variant 1, mRNA	NM_003713	1.5	54.588
WIPI49	Homo sapiens WD40 repeat protein Interacting with phosphoInositides of 49kDa (WIPI49), mRNA	NM_017983	1.5	37.008
NCDN	Homo sapiens neurochondrin (NCDN), mRNA	NM_014284	1.5	26.422
RHBDL7	Homo sapiens rhomboid, veinlet-like 7 (Drosophila) (RHBDL7), mRNA	NM_020684	1.5	23.806
ARFGEF2	Homo sapiens ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited) (ARFGEF2), mRNA	NM_006420	1.5	96.614
AFAP	Homo sapiens actin filament associated protein (AFAP), transcript variant 1, mRNA	NM_021638	1.5	20.211
ZNF473	Homo sapiens zinc finger protein 473 (ZNF473), transcript variant 1, mRNA	NM_015428	1.5	20.211
PLEC1	Homo sapiens plectin 1, intermediate filament binding protein 500kDa (PLEC1), transcript variant 6, mRNA	NM_201380	1.5	180.232
TBL2	Homo sapiens transducin (beta)-like 2 (TBL2), transcript variant 2, mRNA	NM_032988	1.5	35.409
NFIL3	Homo sapiens nuclear factor, interleukin 3 regulated (NFIL3), mRNA	NM_005384	1.5	43.364
FLJ11773	Homo sapiens hypothetical protein FLJ11773 (FLJ11773), mRNA	NM_021934	1.5	43.896
DCP1A	Homo sapiens decapping enzyme (DCP1A), mRNA	NM_018403	1.5	14.003
D21S2056E	Homo sapiens DNA segment on chromosome 21 (unique) 2056 expressed sequence (D21S2056E), mRNA	NM_003683	1.5	28.437
MAPK8IP3	Homo sapiens mRNA for FLJ00027 protein, partial cds.	AK024437	1.5	32.727
EXOSC4	Homo sapiens exosome component 4 (EXOSC4), mRNA	NM_019037	1.5	16.067
SCMH1	Homo sapiens sex comb on midleg homolog 1 (Drosophila) (SCMH1), mRNA	NM_012236	1.5	37.518
JAK1	Homo sapiens Janus kinase 1 (a protein tyrosine kinase) (JAK1), mRNA	NM_002227	1.5	87.223
CHERP	Homo sapiens calcium homeostasis endoplasmic reticulum protein (CHERP), mRNA	NM_006387	1.5	45.958
EXOSC5	Homo sapiens exosome component 5 (EXOSC5), mRNA	NM_020158	1.5	12.964
FKBP10	Homo sapiens FK506 binding protein 10, 65 kDa (FKBP10), mRNA	NM_021939	1.5	38.549
UPF3A	Homo sapiens UPF3 regulator of nonsense transcripts homolog A (yeast) (UPF3A), transcript variant 1, mRNA	NM_023011	1.5	18.110
UPF3A	Homo sapiens UPF3 regulator of nonsense transcripts homolog A (yeast) (UPF3A), transcript variant 1, mRNA	NM_023011	1.5	18.110
LOC153222	Homo sapiens adult retina protein (LOC153222), mRNA	NM_153607	1.5	18.627
CDC2L6	Homo sapiens cell division cycle 2-like 6 (CDK8-like) (CDC2L6), mRNA	NM_015076	1.5	27.401
RPLP2	Homo sapiens ribosomal protein, large P2 (RPLP2), mRNA	NM_001004	1.5	134.699
FBLP-1	Homo sapiens filamin-binding LIM protein-1 (FBLP-1), mRNA	NM_017556	1.5	58.365
RPIA	Homo sapiens ribose 5-phosphate isomerase A (ribose 5-phosphate epimerase) (RPIA), mRNA	NM_144563	1.5	14.965
TBC1D12	Homo sapiens partial mRNA for KIAA0608 transcript, 3 UTR.	AJ404330	1.5	14.965
FLJ20582	Homo sapiens hypothetical protein FLJ20582 (FLJ20582), mRNA	NM_014106	1.5	24.314
PHF14	Homo sapiens PHD finger protein 14 (PHF14), transcript variant 2, mRNA	NM_014660	1.5	44.890
SMG1	Homo sapiens PI-3-kinase-related kinase SMG-1 (SMG1), transcript variant 1, mRNA	NM_015092	1.5	134.645
SMG1	Homo sapiens PI-3-kinase-related kinase SMG-1 (SMG1), transcript variant 1, mRNA	NM_015092	1.5	134.645
TNFAIP2	Homo sapiens tumor necrosis factor, alpha-induced protein 2 (TNFAIP2), mRNA	NM_006291	1.5	25.893
SSA2	Homo sapiens Sjogren syndrome antigen A2 (60kDa, ribonucleoprotein autoantigen SS-A/Ro) (SSA2), mRNA	NM_004600	1.5	41.138
AF173389	Homo sapiens MSTP105 (MST105) mRNA, complete cds.	AF173389	1.5	32.146
EEA1	Homo sapiens early endosome antigen 1, 162kD (EEA1), mRNA	NM_003566	1.5	32.146
PILRB	Homo sapiens paired immunoglobin-like type 2 receptor beta (PILRB), transcript variant 2, mRNA	NM_175047	1.5	27.385
ATP13A2	Homo sapiens ATPase type 13A2 (ATP13A2), mRNA	NM_022089	1.5	17.584
ANKRD12	Homo sapiens ankyrin repeat domain 12 (ANKRD12), mRNA	NM_015208	1.5	22.690
LZTS2	Homo sapiens leucine zipper, putative tumor suppressor 2 (LZTS2), mRNA	NM_032429	1.5	49.132
BTBD1	Homo sapiens BTB (POZ) domain containing 1 (BTBD1), mRNA	NM_025238	1.5	44.355
PUS1	Homo sapiens pseudouridylate synthase 1 (PUS1), mRNA	NM_025215	1.5	33.751
MAML3	Homo sapiens mastermind-like 3 (Drosophila) (MAML3), mRNA	NM_018717	1.5	18.094
POLRMT	Homo sapiens polymerase (RNA) mitochondrial (DNA directed) (POLRMT), nuclear gene encoding mitochondrial protein, mRNA	NM_005035	1.5	129.087
MCL1	Homo sapiens myeloid cell leukemia sequence 1 (BCL2-related) (MCL1), transcript variant 1, mRNA	NM_021960	1.5	216.828
SPAG9	Homo sapiens sperm associated antigen 9 (SPAG9), transcript variant 2, mRNA	NM_172345	1.5	86.542
SPAG9	Homo sapiens sperm associated antigen 9, mRNA (cDNA clone IMAGE:3351321), complete cds.	BC007524	1.5	86.542
SH3MD1	Homo sapiens SH3 multiple domains 1 (SH3MD1), mRNA	NM_014631	1.5	92.578
SFXN4	Homo sapiens sideroflexin 4 (SFXN4), transcript variant 2, mRNA	NM_178867	1.5	13.430
FLJ10534	Homo sapiens hypothetical protein FLJ10534 (FLJ10534), mRNA	NM_018128	1.5	24.825
LLGL2	Homo sapiens lethal giant larvae homolog 2 (Drosophila) (LLGL2), mRNA	NM_004524	1.5	42.198
SPRY4	Homo sapiens sprouty homolog 4 (Drosophila) (SPRY4), mRNA	NM_030964	1.5	19.677
ARTS-1	Homo sapiens type 1 tumor necrosis factor receptor shedding aminopeptidase regulator (ARTS-1), mRNA	NM_016442	1.5	25.880
CDCA4	Homo sapiens cell division cycle associated 4 (CDCA4), transcript variant 1, mRNA	NM_017955	1.5	20.181
INVS	Homo sapiens inversin (INVS), transcript variant 1, mRNA	NM_014425	1.5	20.181
LETM1	Homo sapiens leucine zipper-EF-hand containing transmembrane protein 1 (LETM1), mRNA	NM_012318	1.5	112.893
DSCR2	Homo sapiens Down syndrome critical region gene 2 (DSCR2), transcript variant 1, mRNA	NM_003720	1.5	14.440
ZNF336	Homo sapiens zinc finger protein 336 (ZNF336), mRNA	NM_022482	1.5	20.686
BRF1	Homo sapiens BRF1 homolog, subunit of RNA polymerase III transcription initiation factor IIIB (S. cerevisiae) (BRF1), transcript variant 3, mRNA	NM_145685	1.5	20.686
SRF	Homo sapiens serum response factor (c-fos serum response element-binding transcription factor) (SRF), mRNA	NM_003131	1.5	47.481
HIST2H2AA	Homo sapiens histone 2, H2aa (HIST2H2AA), mRNA	NM_003516	1.5	1529.690
CDK9	Homo sapiens cyclin-dependent kinase 9 (CDC2-related kinase) (CDK9), mRNA	NM_001261	1.5	45.872
TREX1	Homo sapiens three prime repair exonuclease 1 (TREX1), transcript variant 5, mRNA	NM_032166	1.5	17.039
TREX1	Homo sapiens three prime repair exonuclease 1 (TREX1), transcript variant 2, mRNA	NM_033627	1.5	17.039
REPS1	Homo sapiens RALBP1 associated Eps domain containing 1 (REPS1), mRNA	NM_031922	1.5	38.984
GRCC10	Homo sapiens likely ortholog of mouse gene rich cluster, C10 gene (GRCC10), mRNA	NM_138425	1.5	39.499
BRD3	Homo sapiens bromodomain containing 3 (BRD3), mRNA	NM_007371	1.5	101.320
FLJ14075	Homo sapiens hypothetical protein FLJ14075 (FLJ14075), mRNA	NM_024894	1.5	17.571
POMT1	Homo sapiens protein-O-mannosyltransferase 1 (POMT1), mRNA	NM_007171	1.5	25.863
SLA/LP	Homo sapiens soluble liver antigen/liver pancreas antigen (SLA/LP), mRNA	NM_016955	1.5	26.353
MLLT1	Homo sapiens myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1 (MLLT1), mRNA	NM_005934	1.5	34.767
FYN	Homo sapiens FYN oncogene related to SRC, FGR, YES (FYN), transcript variant 1, mRNA	NM_002037	1.5	19.662
SLC16A7	Homo sapiens solute carrier family 16 (monocarboxylic acid transporters), member 7 (SLC16A7), mRNA	NM_004731	1.5	28.374
TEAD3	Homo sapiens TEA domain family member 3 (TEAD3), mRNA	NM_003214	1.5	20.169
SMCR8	Homo sapiens Smith-Magenis syndrome chromosome region, candidate 8 (SMCR8), mRNA	NM_144775	1.5	66.340
PDCD7	Homo sapiens programmed cell death 7 (PDCD7), mRNA	NM_005707	1.5	21.154
KIAA0980	Homo sapiens KIAA0980 protein (KIAA0980), mRNA	NM_025176	1.5	77.113
MC1R	Homo sapiens melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor) (MC1R), mRNA	NM_002386	1.5	202.682
TUBB3	Homo sapiens tubulin, beta 3 (TUBB3), mRNA	NM_006086	1.5	202.682
DST	Homo sapiens dystonin (DST), transcript variant 1e, mRNA	NM_001723	1.5	143.723
SMNDC1	Homo sapiens survival motor neuron domain containing 1 (SMNDC1), mRNA	NM_005871	1.5	13.418
APG4B	Homo sapiens APG4 autophagy 4 homolog B (S. cerevisiae) (APG4B), transcript variant 2, mRNA	NM_178326	1.5	45.316
IL4R	Homo sapiens interleukin 4 receptor (IL4R), transcript variant 1, mRNA	NM_000418	1.5	35.819
PPP3CB	Homo sapiens protein phosphatase 3 (formerly 2B), catalytic subunit, beta isoform (calcineurin A beta) (PPP3CB), mRNA	NM_021132	1.5	14.936
CIAPIN1	Homo sapiens cytokine induced apoptosis inhibitor 1 (CIAPIN1), mRNA	NM_020313	1.5	27.851
MGC23280	Homo sapiens hypothetical protein MGC23280 (MGC23280), mRNA	NM_144683	1.5	19.648
ABCC4	Homo sapiens ATP-binding cassette, sub-family C (CFTR/MRP), member 4 (ABCC4), mRNA	NM_005845	1.5	35.282
CNDP2	Homo sapiens CNDP dipeptidase 2 (metallopeptidase M20 family) (CNDP2), mRNA	NM_018235	1.5	36.873
LRSAM1	Homo sapiens leucine rich repeat and sterile alpha motif containing 1 (LRSAM1), transcript variant 1, mRNA	NM_138361	1.5	21.143
ARL8	Homo sapiens ADP-ribosylation factor-like 8 (ARL8), mRNA	NM_178815	1.5	54.359
MAP4K3	Homo sapiens mitogen-activated protein kinase kinase kinase kinase 3 (MAP4K3), mRNA	NM_003618	1.5	22.167
C1orf9	Homo sapiens chromosome 1 open reading frame 9 (C1orf9), mRNA	NM_016227	1.5	39.452
C20orf59	Homo sapiens chromosome 20 open reading frame 59 (C20orf59), mRNA	NM_022082	1.5	93.464
OPA1	Homo sapiens optic atrophy 1 (autosomal dominant) (OPA1), nuclear gene encoding mitochondrial protein, transcript variant 8, mRNA	NM_130837	1.5	32.083
PARG1	Homo sapiens PTPL1-associated RhoGAP 1 (PARG1), mRNA	NM_004815	1.5	39.443
ZSCAN2	Homo sapiens zinc finger protein 29 (ZFP29), mRNA	NM_181877	1.5	45.809
ZSCAN2	Homo sapiens zinc finger and SCAN domain containing 2 (ZSCAN2), transcript variant 2, mRNA	NM_017894	1.5	45.809
FLJ10587	Homo sapiens hypothetical protein FLJ10587 (FLJ10587), mRNA	NM_018149	1.5	22.426
PAIP1	Homo sapiens poly(A) binding protein interacting protein 1 (PAIP1), transcript variant 1, mRNA	NM_006451	1.5	61.410
PAIP1	Homo sapiens poly(A) binding protein interacting protein 1 (PAIP1), transcript variant 1, mRNA	NM_006451	1.5	61.410
WDFY2	Homo sapiens WD repeat and FYVE domain containing 2 (WDFY2), mRNA	NM_052950	1.5	14.422
MGC29875	Homo sapiens hypothetical protein MGC29875 (MGC29875), mRNA	NM_014388	1.5	19.640
LOC91137	Homo sapiens hypothetical protein BC017169 (LOC91137), mRNA	NM_138773	1.5	20.150
LYCAT	Homo sapiens lysocardiolipin acyltransferase (LYCAT), transcript variant 1, mRNA	NM_182551	1.5	20.650
HS3ST3B1	Homo sapiens heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1 (HS3ST3B1), mRNA	NM_006041	1.5	22.636
GAN	Homo sapiens giant axonal neuropathy (gigaxonin) (GAN), mRNA	NM_022041	1.5	26.310
ZNF142	Homo sapiens zinc finger protein 142 (clone pHZ-49) (ZNF142), mRNA	NM_005081	1.5	26.817
FBXL18	Homo sapiens cDNA FLJ11467 fis, clone HEMBA1001647.	AK021529	1.5	27.314
FBXL18	Homo sapiens F-box and leucine-rich repeat protein 18 (FBXL18), mRNA	NM_024963	1.5	27.314
HSRG1	Homo sapiens mRNA for KIAA0872 protein, partial cds.	AB020679	1.5	37.360
HERC1	Homo sapiens hect (homologous to the E6-AP (UBE3A) carboxyl terminus) domain and RCC1 (CHC1)-like domain (RLD) 1 (HERC1), mRNA	NM_003922	1.5	42.094
LOC91316	Homo sapiens cDNA FLJ43820 fis, clone TESTI4002202, moderately similar to Lambda L-chain C region.	AK125808	1.5	46.307
C21orf108	Homo sapiens chromosome 21 C21orf108 mRNA, partial cds.	AF231919	1.5	47.390
PARD3	Homo sapiens atypical PKC isotype-specific interacting protein long variant mRNA, complete cds.	AF196185	1.5	70.472
IPO7	Homo sapiens importin 7 (IPO7), mRNA	NM_006391	1.5	89.033
MAEA	Homo sapiens macrophage erythroblast attacher (MAEA), mRNA	NM_005882	1.5	72.102
GATA6	Homo sapiens GATA binding protein 6 (GATA6), mRNA	NM_005257	1.5	35.770
GATA6	H.sapiens mRNA for GATA-6 DNA-binding protein.	X95701	1.5	35.770
PES1	Homo sapiens pescadillo homolog 1, containing BRCT domain (zebrafish) (PES1), mRNA	NM_014303	1.5	113.092
DKFZP564J0123	Homo sapiens nuclear protein E3-3 (DKFZP564J0123), transcript variant 5, mRNA	NM_199417	1.5	69.396
REV3L	Homo sapiens REV3-like, catalytic subunit of DNA polymerase zeta (yeast) (REV3L), mRNA	NM_002912	1.5	27.306
NIPA1	Homo sapiens non imprinted in Prader-Willi/Angelman syndrome 1 (NIPA1), mRNA	NM_144599	1.5	22.148
GIT1	Homo sapiens G protein-coupled receptor kinase interactor 1 (GIT1), mRNA	NM_014030	1.5	47.885
TM4SF7	Homo sapiens transmembrane 4 superfamily member 7 (TM4SF7), mRNA	NM_003271	1.5	19.631
SSP411	Homo sapiens sperm protein SSP411 (SSP411), mRNA	NM_022827	1.5	18.050
PABPC1	Homo sapiens poly(A) binding protein, cytoplasmic 1 (PABPC1), mRNA	NM_002568	1.5	88.190
RSBN1	Homo sapiens round spermatid basic protein 1 (RSBN1), mRNA	NM_018364	1.5	34.152
POLD1	Homo sapiens polymerase (DNA directed), delta 1, catalytic subunit 125kDa (POLD1), mRNA	NM_002691	1.5	67.156
ZFPM1	Homo sapiens zinc finger protein, multitype 1 (ZFPM1), mRNA	NM_153813	1.5	27.806
SBNO1	Homo sapiens cDNA FLJ10701 fis, clone NT2RP3000690.	AK001563	1.5	27.299
FLJ12438	Homo sapiens hypothetical protein FLJ12438 (FLJ12438), mRNA	NM_021933	1.5	26.800
SDF2L1	Homo sapiens stromal cell-derived factor 2-like 1 (SDF2L1), mRNA	NM_022044	1.5	26.294
KIAA0153	Homo sapiens KIAA0153 protein (KIAA0153), mRNA	NM_015140	1.5	69.900
CPEB4	Homo sapiens cytoplasmic polyadenylation element binding protein 4 (CPEB4), mRNA	NM_030627	1.5	63.496
SCO2	Homo sapiens SCO cytochrome oxidase deficient homolog 2 (yeast) (SCO2), nuclear gene encoding mitochondrial protein, mRNA	NM_005138	1.5	22.138
SEC23IP	Homo sapiens SEC23 interacting protein (SEC23IP), mRNA	NM_007190	1.5	32.036
CHFR	Homo sapiens checkpoint with forkhead and ring finger domains (CHFR), mRNA	NM_018223	1.5	31.482
SNTB1	Homo sapiens syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1) (SNTB1), mRNA	NM_021021	1.5	109.181
FLJ20485	Homo sapiens hypothetical protein FLJ20485 (FLJ20485), mRNA	NM_019042	1.5	25.263
LOC129138	Homo sapiens hypothetical protein BC014641 (LOC129138), mRNA	NM_138797	1.5	15.956
GCLC	Homo sapiens glutamate-cysteine ligase, catalytic subunit (GCLC), mRNA	NM_001498	1.5	15.425
GCLC	Human gamma-glutamylcysteine synthetase (GCS) mRNA, complete cds.	M90656	1.5	15.425
RAP1GDS1	Homo sapiens RAP1, GTP-GDP dissociation stimulator 1 (RAP1GDS1), mRNA	NM_021159	1.5	14.913
PAFAH2	Homo sapiens platelet-activating factor acetylhydrolase 2, 40kDa (PAFAH2), mRNA	NM_000437	1.5	14.913
DTX3	Homo sapiens deltex 3 homolog (Drosophila) (DTX3), mRNA	NM_178502	1.5	21.599
SWAP70	Homo sapiens SWAP-70 protein (SWAP70), mRNA	NM_015055	1.5	20.621
VPS37C	Homo sapiens vacuolar protein sorting 37C (yeast) (VPS37C), mRNA	NM_017966	1.5	34.125
FAF1	Homo sapiens Fas (TNFRSF6) associated factor 1 (FAF1), transcript variant 1, mRNA	NM_007051	1.5	33.601
SIAHBP1	Homo sapiens fuse-binding protein-interacting repressor (SIAHBP1), transcript variant 2, mRNA	NM_014281	1.5	53.193
PPFIA1	Homo sapiens protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1 (PPFIA1), transcript variant 2, mRNA	NM_003626	1.5	102.031
PPFIA1	Homo sapiens protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1 (PPFIA1), transcript variant 1, mRNA	NM_177423	1.5	102.031
C14orf9	Homo sapiens chromosome 14 open reading frame 9 (C14orf9), mRNA	NM_144568	1.5	34.119
MRPL34	Homo sapiens mitochondrial ribosomal protein L34 (MRPL34), nuclear gene encoding mitochondrial protein, mRNA	NM_023937	1.5	22.122
SLC12A7	Homo sapiens solute carrier family 12 (potassium/chloride transporters), member 7 (SLC12A7), mRNA	NM_006598	1.5	50.992
BRPF1	Homo sapiens bromodomain and PHD finger containing, 1 (BRPF1), transcript variant 2, mRNA	NM_004634	1.5	74.665
SFRS6	Homo sapiens splicing factor, arginine/serine-rich 6 (SFRS6), mRNA	NM_006275	1.5	97.042
MCM3AP	Homo sapiens MCM3 minichromosome maintenance deficient 3 (S. cerevisiae) associated protein (MCM3AP), mRNA	NM_003906	1.5	53.699
DCP1B	Homo sapiens DCP1 decapping enzyme homolog B (S. cerevisiae) (DCP1B), mRNA	NM_152640	1.5	8.552
C12orf22	Homo sapiens chromosome 12 open reading frame 22 (C12orf22), mRNA	NM_030809	1.5	30.921
TTL	Homo sapiens tubulin tyrosine ligase (TTL), mRNA	NM_153712	1.5	38.332
SEC6L1	Homo sapiens SEC6-like 1 (S. cerevisiae) (SEC6L1), mRNA	NM_007277	1.5	18.032
FMNL2	Homo sapiens formin-like 2 (FMNL2), transcript variant 4, mRNA	NM_001004417	1.5	70.320
HSPB1	Homo sapiens heat shock 27kDa protein 1 (HSPB1), mRNA	NM_001540	1.5	229.533
HSPA9B	Homo sapiens heat shock 70kDa protein 9B (mortalin-2) (HSPA9B), nuclear gene encoding mitochondrial protein, mRNA	NM_004134	1.5	229.533
ZBTB16	Homo sapiens zinc finger and BTB domain containing 16 (ZBTB16), mRNA	NM_006006	1.5	21.590
ADNP	Homo sapiens activity-dependent neuroprotector (ADNP), transcript variant 1, mRNA	NM_015339	1.5	30.378
PTDSS2	Homo sapiens phosphatidylserine synthase 2 (PTDSS2), mRNA	NM_030783	1.5	21.102
MGC4549	Homo sapiens hypothetical protein MGC4549 (MGC4549), mRNA	NM_032377	1.5	25.243
H1FX	Homo sapiens H1 histone family, member X (H1FX), mRNA	NM_006026	1.5	145.371
BMF	Homo sapiens Bcl2 modifying factor (BMF), transcript variant 2, mRNA	NM_033503	1.5	76.285
PPP4R2	Homo sapiens protein phosphatase 4, regulatory subunit 2 (PPP4R2), mRNA	NM_174907	1.5	20.113
CYR61	Homo sapiens cysteine-rich, angiogenic inducer, 61 (CYR61), mRNA	NM_001554	1.5	15.415
MUS81	Homo sapiens MUS81 endonuclease homolog (yeast) (MUS81), mRNA	NM_025128	1.5	27.271
ZBTB4	Homo sapiens zinc finger and BTB domain containing 4 (ZBTB4), mRNA	NM_020899	1.5	27.271
UBN1	Homo sapiens ubinuclein 1 (UBN1), mRNA	NM_016936	1.5	42.521
EBSP	Homo sapiens embryo brain specific protein (EBSP), mRNA	NM_015654	1.5	29.854
MYO9B	Homo sapiens myosin IXB (MYO9B), mRNA	NM_004145	1.5	103.576
IFRD2	Homo sapiens interferon-related developmental regulator 2 (IFRD2), mRNA	NM_006764	1.5	47.264
CENPF	Homo sapiens centromere protein F, 350/400ka (mitosin) (CENPF), mRNA	NM_016343	1.5	61.757
ZGPAT	Homo sapiens zinc finger, CCCH-type with G patch domain (ZGPAT), transcript variant 2, mRNA	NM_181484	1.5	20.605
ZGPAT	Homo sapiens zinc finger, CCCH-type with G patch domain (ZGPAT), transcript variant 3, mRNA	NM_181485	1.5	20.605
RNF41	Homo sapiens ring finger protein 41 (RNF41), transcript variant 2, mRNA	NM_194358	1.5	34.097
MYCBP2	Homo sapiens MYC binding protein 2 (MYCBP2), mRNA	NM_015057	1.5	23.658
ASB13	Homo sapiens ankyrin repeat and SOCS box-containing 13 (ASB13), mRNA	NM_024701	1.5	13.389
LIMK1	Homo sapiens LIM domain kinase 1 (LIMK1), transcript variant 1, mRNA	NM_002314	1.5	13.389
TCEB2	Homo sapiens transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B) (TCEB2), transcript variant 1, mRNA	NM_007108	1.5	37.266
RAI16	Homo sapiens retinoic acid induced 16 (RAI16), mRNA	NM_022749	1.5	19.600
FLII	Homo sapiens flightless I homolog (Drosophila) (FLII), mRNA	NM_002018	1.5	109.006
INPP4A	Homo sapiens inositol polyphosphate-4-phosphatase, type I, 107kDa (INPP4A), transcript variant a, mRNA	NM_004027	1.5	32.512
ANTXR2	Homo sapiens anthrax toxin receptor 2 (ANTXR2), mRNA	NM_058172	1.5	35.694
ENAH	Homo sapiens enabled homolog (Drosophila) (ENAH), transcript variant 1, mRNA	NM_001008493	1.5	267.982
ENAH	Homo sapiens enabled homolog (Drosophila) (ENAH), transcript variant 2, mRNA	NM_018212	1.5	267.982
TNFRSF21	Homo sapiens tumor necrosis factor receptor superfamily, member 21 (TNFRSF21), mRNA	NM_014452	1.5	28.780
FKBP2	Homo sapiens FK506 binding protein 2, 13kDa (FKBP2), transcript variant 1, mRNA	NM_004470	1.5	15.415
PHC1	Homo sapiens polyhomeotic-like 1 (Drosophila), mRNA (cDNA clone MGC:87926 IMAGE:5788132), complete cds.	BC073964	1.5	21.099
PHC1	Homo sapiens polyhomeotic-like 1 (Drosophila) (PHC1), mRNA	NM_004426	1.5	21.099
ZFP67	Homo sapiens zinc finger protein 67 homolog (mouse) (ZFP67), mRNA	NM_015872	1.5	54.159
DHX34	Homo sapiens DEAH (Asp-Glu-Ala-His) box polypeptide 34 (DHX34), transcript variant 1, mRNA	NM_014681	1.5	32.512
BTBD14A	Homo sapiens BTB (POZ) domain containing 14A (BTBD14A), mRNA	NM_144653	1.5	44.641
STX6	Homo sapiens syntaxin 6 (STX6), mRNA	NM_005819	1.5	26.262
PDE4D	Homo sapiens phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila) (PDE4D), mRNA	NM_006203	1.5	28.779
PDE4D	Homo sapiens phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila), mRNA (cDNA clone IMAGE:4280941), complete cds.	BC008390	1.5	28.779
FAHD1	Homo sapiens fumarylacetoacetate hydrolase domain containing 1 (FAHD1), mRNA	NM_031208	1.5	20.110
PDRG1	Homo sapiens p53 and DNA damage regulated 1 (PDRG1), mRNA	NM_030815	1.5	20.110
NR2C1	Homo sapiens nuclear receptor subfamily 2, group C, member 1 (NR2C1), mRNA	NM_003297	1.5	16.981
ACVR1	Homo sapiens activin A receptor, type I (ACVR1), mRNA	NM_001105	1.5	16.981
TSPYL2	Homo sapiens TSPY-like 2 (TSPYL2), mRNA	NM_022117	1.5	16.981
TTC17	Homo sapiens HSPC313 mRNA, partial cds.	AF161431	1.5	36.746
HMGN4	Homo sapiens high mobility group nucleosomal binding domain 4 (HMGN4), mRNA	NM_006353	1.5	13.892
MRPS26	Homo sapiens mitochondrial ribosomal protein S26 (MRPS26), nuclear gene encoding mitochondrial protein, mRNA	NM_030811	1.5	53.655
HIST1H1E	Homo sapiens histone 1, H1e (HIST1H1E), mRNA	NM_005321	1.5	457.576
CORO1B	Homo sapiens coronin, actin binding protein, 1B (CORO1B), mRNA	NM_020441	1.5	224.354
GNG5	Homo sapiens guanine nucleotide binding protein (G protein), gamma 5 (GNG5), mRNA	NM_005274	1.5	24.703
