Gene Symbol	Gene Title	Row_Column	log2 Par4	log2 emptyvector_control	log2 (Par4/vector)	abs fold-change	10%FDR	5%FDR	1%FDR	Alignments	RefSeq Protein ID	RefSeq Transcript ID	Gene Ontology Biological Process	Gene Ontology Cellular Component	Gene Ontology Molecular Function	Pathway
FAM3C	family with sequence similarity 3, member C	154_60	1.53415324	2.413726296	-0.879573056	1.839830751	yes	yes	yes	chrX:23003628-23006416 (+) // 98.87 // p22.11 /// chr7:120776142-120823577 (-) // 97.54 // q31.31	NP_001035109.1 /// NP_055703.1	NM_001040020 /// NM_014888	---	5576 // extracellular region // non-traceable author statement	5125 // cytokine activity // non-traceable author statement	---
FAM62B	family with sequence similarity 62 (C2 domain containing) member B	259_22	-0.268351433	0.466570747	-0.73492218	1.664307693	yes	yes	yes	chr7:158216448-158283530 (-) // 93.21 // q36.3	NP_065779.1	NM_020728	---	---	---	---
FAM84B	family with sequence similarity 84, member B	79_100	1.321911015	0.370102225	0.95180879	1.934296278	yes	yes	yes	chr8:127633870-127635413 (-) // 93.62 // q24.21	NP_777571.1	NM_174911	---	5737 // cytoplasm // inferred from direct assay /// 5886 // plasma membrane // inferred from direct assay	5515 // protein binding // inferred from physical interaction	---
FAM91A1	family with sequence similarity 91, member A1	112_67	1.295058288	0.629953552	0.665104736	1.585683386	yes	yes	yes	chr1:147843113-147917731 (+) // 95.92 // q21.1 /// chr1:147497342-147532134 (+) // 91.98 // q21.1 /// chr8:124855504-124895907 (+) // 68.99 // q24.13	NP_659400.2	NM_144963	---	---	19825 // oxygen binding // inferred from electronic annotation	---
FAM92A1	Family with sequence similarity 92, member A1	332_46	1.020556333	0.252706534	0.7678498	1.702730133	yes	yes	yes	chr8:94808755-94809379 (-) // 55.09 // q22.1	XP_931430.1 /// XP_936274.1 /// XP_936278.1 /// XP_936287.1 /// XP_936293.1 /// XP_941920.1 /// XP_948089.1 /// XP_948095.1 /// XP_948106.1 /// XP_948112.1	XM_926337 /// XM_931181 /// XM_931185 /// XM_931194 /// XM_931200 /// XM_936827 /// XM_942996 /// XM_943002 /// XM_943013 /// XM_943019	---	---	---	---
FANCC	Fanconi anemia, complementation group C	323_74	0.244438512	0.909329645	-0.664891133	1.585448629	yes	yes	yes	chr9:96991311-96991772 (-) // 92.93 // q22.32	NP_000127.2	NM_000136	6281 // DNA repair // inferred from electronic annotation /// 6281 // DNA repair // traceable author statement /// 6461 // protein complex assembly // traceable author statement /// 6974 // response to DNA damage stimulus // inferred from electronic annotation	5634 // nucleus // traceable author statement /// 5737 // cytoplasm // traceable author statement /// 5829 // cytosol // inferred from direct assay /// 5634 // nucleus // inferred from electronic annotation	5515 // protein binding // inferred from physical interaction	---
FDFT1	farnesyl-diphosphate farnesyltransferase 1	161_61	-0.429994573	0.472077235	-0.902071808	1.868747706	yes	yes	yes	chr8:11697624-11734215 (+) // 98.38 // p23.1	NP_004453.3	NM_004462	6695 // cholesterol biosynthesis // inferred from electronic annotation /// 8299 // isoprenoid biosynthesis // inferred from electronic annotation /// 6694 // steroid biosynthesis // inferred from electronic annotation /// 8610 // lipid biosynthesis // inferred from electronic annotation /// 9058 // biosynthesis // inferred from electronic annotation /// 16126 // sterol biosynthesis // inferred from electronic annotation /// 6694 // steroid biosynthesis // traceable author statement	5783 // endoplasmic reticulum // inferred from electronic annotation /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // traceable author statement /// 16021 // integral to membrane // inferred from electronic	287 // magnesium ion binding // inferred from electronic annotation /// 4310 // farnesyl-diphosphate farnesyltransferase activity // inferred from electronic annotation /// 16491 // oxidoreductase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation /// 3824 // catalytic activity // inferred from electronic annotation	Cholesterol_Biosynthesis // GenMAPP /// Biosynthesis of steroids // KEGG /// Terpenoid biosynthesis // KEGG
FABP1	fatty acid binding protein 1, liver	264_7	-2.04358869	-2.637473122	0.593884432	1.50930506	yes	yes	yes	chr2:88203624-88208693 (-) // 100.0 // p11.2	NP_001434.1	NM_001443	6631 // fatty acid metabolism // not recorded /// 6810 // transport // inferred from electronic annotation /// 7267 // cell-cell signaling // not recorded /// 9887 // organ morphogenesis // traceable author statement	5737 // cytoplasm // not recorded	5319 // lipid transporter activity // not recorded /// 8289 // lipid binding // inferred from electronic annotation /// 5488 // binding // inferred from electronic annotation	---
FABP6	fatty acid binding protein 6, ileal (gastrotropin)	32_100	1.801410013	1.017918246	0.783491766	1.721291892	yes	yes	yes	chr5:159589093-159598267 (+) // 99.78 // q33.3	NP_001035532.1 /// NP_001436.1	NM_001040442 /// NM_001445	6629 // lipid metabolism // non-traceable author statement /// 6810 // transport // inferred from electronic annotation /// 8285 // negative regulation of cell proliferation // traceable author statement	5737 // cytoplasm // traceable author statement	5504 // fatty acid binding // not recorded /// 8289 // lipid binding // inferred from electronic annotation /// 5488 // binding // inferred from electronic annotation /// 8289 // lipid binding // traceable author statement	---
FER1L3	fer-1-like 3, myoferlin (C. elegans)	196_22	2.338270083	1.551285556	0.786984527	1.725464183	yes	yes	yes	chr10:95056176-95232029 (-) // 99.52 // q23.33	NP_038479.1 /// NP_579899.1	NM_013451 /// NM_133337	6936 // muscle contraction // traceable author statement /// 8015 // circulation // traceable author statement	5635 // nuclear envelope // traceable author statement /// 5886 // plasma membrane // traceable author statement /// 16021 // integral to membrane // inferred from electronic annotation /// 16020 // membrane // inferred from electronic annotation	---	---
FRS3	fibroblast growth factor receptor substrate 3	319_100	2.182842391	1.577669906	0.605172485	1.521160608	yes	yes	yes	chr6:41845891-41853862 (-) // 95.47 // p21.1	NP_006644.1	NM_006653	7165 // signal transduction // traceable author statement /// 8543 // fibroblast growth factor receptor signaling pathway // traceable author statement	16020 // membrane // inferred from electronic annotation	5158 // insulin receptor binding // inferred from electronic annotation	---
FNDC3B	fibronectin type III domain containing 3B	198_15	0.236083493	-0.312326091	0.548409584	1.462472588	yes	yes	yes	chr3:173598882-173601187 (+) // 92.71 // q26.31	NP_073600.2	NM_022763	---	16021 // integral to membrane // inferred from electronic annotation	4872 // receptor activity // inferred from electronic annotation	---
FKBP4	FK506 binding protein 4, 59kDa	183_46	0.004327958	0.560874414	-0.556546457	1.470744312	yes	yes	yes	chr12:2774394-2783369 (+) // 89.96 // p13.33	NP_002005.1	NM_002014	6457 // protein folding // traceable author statement /// 6457 // protein folding // inferred from electronic annotation	5622 // intracellular // non-traceable author statement /// 5634 // nucleus // inferred from electronic annotation /// 5737 // cytoplasm // traceable author statement	3755 // peptidyl-prolyl cis-trans isomerase activity // inferred from electronic annotation /// 5528 // FK506 binding // traceable author statement /// 16853 // isomerase activity // inferred from electronic annotation /// 30674 // protein binding, bridging // traceable author statement /// 5515 // protein binding // inferred from physical interaction /// 5488 // binding // inferred from electronic annotation	Calcium signaling pathway // KEGG
FLJ35348	FLJ35348	284_46	0.639401123	1.248678642	-0.609277518	1.525495071	yes	yes	yes	chr9:135882121-135883040 (+) // 28.01 // q34.2 /// chr3:50359926-50363188 (-) // 57.77 // p21.31	---	NR_002800	---	---	---	---
FLJ41649	FLJ41649 protein	378_92	0.06234943	0.614320426	-0.551970995	1.466087282	yes	yes	yes	chr6:40454308-40455603 (+) // 97.01 // p21.2	NP_001001705.1	NM_001001705	---	---	---	---
FLJ42875	FLJ42875 protein	300_107	0.52647218	-0.158503658	0.684975838	1.607675056	yes	yes	yes	chr1:2970153-2970981 (-) // 96.75 // p36.32	XP_933439.1 /// XP_937887.1 /// XP_947755.1 /// XP_951288.1	XM_928346 /// XM_932794 /// XM_942662 /// XM_946195	---	---	---	---
FLJ42957	FLJ42957 protein	230_87	-0.196220072	0.40310881	-0.599328882	1.515011644	yes	yes	yes	chr12:115456864-115457527 (+) // 79.49 // q24.22	NP_997319.1	NM_207436	---	---	---	---
FLT3LG	fms-related tyrosine kinase 3 ligand	56_75	-0.060781689	0.778140597	-0.838922286	1.788713447	yes	yes	yes	chr19:54669629-54681300 (+) // 84.44 // q13.33	NP_001450.2	NM_001459	7165 // signal transduction // traceable author statement /// 8284 // positive regulation of cell proliferation // traceable author statement	5615 // extracellular space // inferred from electronic annotation /// 5625 // soluble fraction // traceable author statement /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annota	5125 // cytokine activity // inferred from electronic annotation /// 5102 // receptor binding // traceable author statement	---
FOSL2	FOS-like antigen 2	373_85	1.333379469	0.783938745	0.549440724	1.463518238	yes	yes	yes	chr2:28489294-28491018 (+) // 94.67 // p23.2	NP_005244.1	NM_005253	6357 // regulation of transcription from RNA polymerase II promoter // traceable author statement /// 8219 // cell death // traceable author statement /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation	5634 // nucleus // traceable author statement /// 5634 // nucleus // inferred from electronic annotation	3700 // transcription factor activity // traceable author statement /// 43565 // sequence-specific DNA binding // inferred from electronic annotation /// 46983 // protein dimerization activity // inferred from electronic annotation /// 3677 // DNA binding // inferred from electronic annotation /// 3700 // transcription factor activity // inferred from electronic annotation	---
FHL2	four and a half LIM domains 2	187_14	1.12115063	0.536687636	0.584462993	1.499480742	yes	yes	yes	chr2:105343716-105421384 (-) // 99.93 // q12.2	NP_001034581.1 /// NP_001441.4 /// NP_963849.1 /// NP_963851.2	NM_001039492 /// NM_001450 /// NM_201555 /// NM_201557	30521 // androgen receptor signaling pathway // non-traceable author statement /// 45893 // positive regulation of transcription, DNA-dependent // non-traceable author statement	5634 // nucleus // traceable author statement /// 5634 // nucleus // inferred from electronic annotation	3713 // transcription coactivator activity // non-traceable author statement /// 8270 // zinc ion binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation /// 50681 // androgen receptor binding // non-traceable author statement	---
FZD6	frizzled homolog 6 (Drosophila)	349_2	1.150552253	0.413210713	0.73734154	1.667101033	yes	yes	yes	chr8:104380293-104413877 (+) // 99.46 // q22.3	NP_003497.2	NM_003506	7164 // establishment of tissue polarity // traceable author statement /// 7166 // cell surface receptor linked signal transduction // inferred from electronic annotation /// 7186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation /// 7222 // frizzled signaling pathway // traceable author statement /// 7275 // development // traceable author statement /// 7165 // signal transduction // inferred from electronic annotation /// 7275 // development // inferred from electronic annotation /// 16055 // Wnt receptor signaling pathway // inferred from electronic annotation	5887 // integral to plasma membrane // traceable author statement /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	4872 // receptor activity // inferred from electronic annotation /// 4926 // non-G-protein coupled 7TM receptor activity // inferred from electronic annotation /// 4930 // G-protein coupled receptor activity // inferred from electronic annotation /// 42813 // Wnt receptor activity // traceable author statement /// 4871 // signal transducer activity // inferred from electronic annotation	Wnt_signaling // GenMAPP
