UNIQID	Gene Symbol	Chromosome Map	Gene Description
217743_s_at	TMEM30A	chr6q14	transmembrane protein 30A
212657_s_at	IL1RN	chr2q14	interleukin 1 receptor antagonist
208450_at	LGALS2	chr22q13	lectin galactoside-binding soluble 2 (galectin
206935_at	PCDH8	chr13q14	protocadherin 8
205844_at	VNN1	chr6q23	vanin 1
213880_at	GPR49	chr12q22	G protein-coupled receptor 49
219987_at	FLJ12684	chr4q12	hypothetical protein FLJ12684
220979_s_at	SIAT7E	chr1p31	sialyltransferase 7 ((alpha-N-acetylneuraminyl-23
214456_x_at	SAA1	chr11p15	serum amyloid A1
221523_s_at	RRAGD	chr6q15	Ras-related GTP binding D
220414_at	CALML5	chr10p15	calmodulin-like 5
209628_at	NXT2	chrxq23	nuclear transport factor 2-like export factor 2
213372_at	PAQR3	chr4q21	progestin and adipoQ receptor family member III
201853_s_at	CDC25B	chr20p13	cell division cycle 25B
205042_at	GNE	chr9p13	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylman
205041_s_at	ORM1	chr9q31	orosomucoid 1
214465_at	ORM2	chr9q32	orosomucoid 2
207443_at	NR2E1	chr6q21	nuclear receptor subfamily 2 group E member 1
211674_x_at	CTAG1A	chrxq28	cancer/testis antigen 1A
214254_at	MAGEA4	chrxq28	melanoma antigen family A 4
220133_at	APIN	chr4q13	APin protein
218949_s_at	QRSL1	chr6q21	glutaminyl-tRNA synthase (glutamine-hydrolyzing)-l
213418_at	HSPA6	chr1q23	heat shock 70kDa protein 6 (HSP70B)
218001_at	MRPS2	chr9q34	mitochondrial ribosomal protein S2
218340_s_at	FLJ10808	chr4q13	hypothetical protein FLJ10808
201123_s_at	EIF5A	chr17p13	eukaryotic translation initiation factor 5A
218454_at	FLJ22662	chr12p13	hypothetical protein FLJ22662
205505_at	GCNT1	chr9q13	glucosaminyl (N-acetyl) transferase 1 core 2 (bet
213518_at	PRKCI	chr3q26	protein kinase C iota
214097_at	RPS21	chr20q13	ribosomal protein S21
218888_s_at	NETO2	chr16q11	neuropilin (NRP) and tolloid (TLL)-like 2
202712_s_at	CKMT1	chr15q15	creatine kinase mitochondrial 1 (ubiquitous)
202464_s_at	PFKFB3	chr10p14	6-phosphofructo-2-kinase/fructose-26-biphosphatas
213379_at	CL640	chr4q21	hypothetical protein CL640
201791_s_at	DHCR7	chr11q13	7-dehydrocholesterol reductase
204141_at	TUBB	chr6p25	tubulin beta polypeptide
202166_s_at	PPP1R2	chr3q29	protein phosphatase 1 regulatory (inhibitor) subu
202583_s_at	RANBP9	chr6p23	RAN binding protein 9
204565_at	THEM2	chr6p22	thioesterase superfamily member 2
204905_s_at	EEF1E1	chr6p24	eukaryotic translation elongation factor 1 epsilon
220094_s_at	C6orf79	chr6p24	chromosome 6 open reading frame 79
218538_s_at	MRS2L	chr6p22	MRS2-like magnesium homeostasis factor (S. cerevi
218135_at	PTX1	chr12p11	PTX1 protein
209803_s_at	PHLDA2	chr11p15	pleckstrin homology-like domain family A member
219008_at	FLJ21820	chr2p24	hypothetical protein FLJ21820
201005_at	CD9	chr12p13	CD9 antigen (p24)
208322_s_at	SIAT4A	chr8q24	sialyltransferase 4A (beta-galactoside alpha-23-s
200607_s_at	RAD21	chr8q24	RAD21 homolog (S. pombe)
201639_s_at	CPSF1	chr8q24	cleavage and polyadenylation specific factor 1 16
212556_at	SCRIB	chr8q24	scribbled homolog (Drosophila)
201066_at	CYC1	chr8q24	cytochrome c-1
209899_s_at	SIAHBP1	chr8q24	fuse-binding protein-interacting repressor
218695_at	EXOSC4	chr8q24	exosome component 4
208820_at	PTK2	chr8q24	PTK2 protein tyrosine kinase 2
218187_s_at	FLJ20989	chr8q24	hypothetical protein FLJ20989
212563_at	BOP1	chr8q24	block of proliferation 1
213310_at	EIF2C2	chr8q24	Eukaryotic translation initiation factor 2C 2
201618_x_at	GPAA1	chr8q24	GPAA1P anchor attachment protein 1 homolog (yeast)
218500_at	LOC51337	chr8q24	mesenchymal stem cell protein DSCD75
218679_s_at	VPS28	chr8q24	vacuolar protein sorting 28 (yeast)
222155_s_at	GPR172A	chr8q24	G protein-coupled receptor 172A
36936_at	TSTA3	chr8q24	tissue specific transplantation antigen P35B
219215_s_at	SLC39A4	chr8q24	solute carrier family 39 (zinc transporter) membe
201428_at	CLDN4	chr7q11	claudin 4
203953_s_at	CLDN3	chr7q11	claudin 3
217551_at	OR7E18P	chr19p13	olfactory receptor family 7 subfamily E member
212070_at	GPR56	chr16q13	G protein-coupled receptor 56
218829_s_at	CHD7	chr8q12	chromodomain helicase DNA binding protein 7
218834_s_at	HSPA5BP1	chr11q12	heat shock 70kDa protein 5 (glucose-regulated prot
202203_s_at	AMFR	chr16q21	autocrine motility factor receptor
204734_at	KRT15	chr17q21	keratin 15
209750_at	NR1D2	chr3p24	nuclear receptor subfamily 1 group D member 2
204041_at	MAOB	chrxp11	monoamine oxidase B
204119_s_at	ADK	chr10q22	adenosine kinase
204716_at	CCDC6	chr10q21	coiled-coil domain containing 6
203763_at	D2LIC	chr2p25	dynein 2 light intermediate chain
209296_at	PPM1B	chr2p21	protein phosphatase 1B (formerly 2C) magnesium-de
202361_at	SEC24C	chr10q22	SEC24 related gene family member C (S. cerevisiae
206569_at	IL24	chr1q32	interleukin 24
209956_s_at	CAMK2B	chr7p14	calcium/calmodulin-dependent protein kinase (CaM k
212216_at	KIAA0436	chr2p22	putative prolyl oligopeptidase
211580_s_at	PIK3R3	chr1p34	phosphoinositide-3-kinase regulatory subunit 3 (p
221484_at	B4GALT5	chr20q13	UDP-Gal:betaGlcNAc beta -14 galactosyltransferase
209242_at	PEG3	chr19q13	paternally expressed 3
221690_s_at	NALP2	chr19q13	NACHT leucine rich repeat and PYD containing 2
218614_at	FLJ10652	chr12p11	hypothetical protein FLJ10652
204731_at	TGFBR3	chr1p33	transforming growth factor beta receptor III (bet
204472_at	GEM	chr8q13	GTP binding protein overexpressed in skeletal musc
202242_at	TM4SF2	chrxp11	transmembrane 4 superfamily member 2
205249_at	EGR2	chr10q21	early growth response 2 (Krox-20 homolog Drosophi
204271_s_at	EDNRB	chr13q22	endothelin receptor type B
202992_at	C7	chr5p13	complement component 7
205923_at	RELN	chr7q22	reelin
209821_at	C9orf26	chr9p24	chromosome 9 open reading frame 26 (NF-HEV)
213258_at	TFPI	chr2q31	Tissue factor pathway inhibitor (lipoprotein-assoc
204851_s_at	DCX	chrxq22	doublecortex; lissencephaly X-linked (doublecorti
209560_s_at	DLK1	chr14q32	delta-like 1 homolog (Drosophila)
206825_at	OXTR	chr3p25	oxytocin receptor
211737_x_at	PTN	chr7q33	pleiotrophin (heparin binding growth factor 8 neu
205051_s_at	KIT	chr4q11	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncog
221796_at	NTRK2	chr9q22	neurotrophic tyrosine kinase receptor type 2
205439_at	GSTT2	chr22q11	glutathione S-transferase theta 2
206797_at	NAT2	chr8p22	N-acetyltransferase 2 (arylamine N-acetyltransfera
207816_at	LALBA	chr12q13	lactalbumin alpha-
210377_at	SAH	chr16p13	SA hypertension-associated homolog (rat)
211298_s_at	ALB	chr4q11	albumin
206742_at	FIGF	chrxp22	c-fos induced growth factor (vascular endothelial
213791_at	PENK	chr8q23	proenkephalin
219532_at	ELOVL4	chr6q14	elongation of very long chain fatty acids (FEN1/El
213194_at	ROBO1	chr3p12	roundabout axon guidance receptor homolog 1 (Dro
213742_at	SFRS11	chr1p31	splicing factor arginine/serine-rich 11
213478_at	KIAA1026	chr1p36	KIAA1026 protein
219229_at	SLCO3A1	chr15q26	solute carrier organic anion transporter family m
219305_x_at	FBXO2	chr1p36	F-box protein 2
206631_at	PTGER2	chr14q22	prostaglandin E receptor 2 (subtype EP2) 53kDa
204187_at	GMPR	chr6p23	guanosine monophosphate reductase
204159_at	CDKN2C	chr1p32	cyclin-dependent kinase inhibitor 2C (p18 inhibit
202391_at	BASP1	chr5p15	brain abundant membrane attached signal protein 1
203000_at	STMN2	chr8q21	stathmin-like 2
205413_at	C11orf8	chr11p13	chromosome 11 open reading frame 8
204777_s_at	MAL	chr2cen	mal T-cell differentiation protein
205139_s_at	UST	chr6q25	uronyl-2-sulfotransferase
206228_at	PAX2	chr10q24	paired box gene 2
203296_s_at	ATP1A2	chr1q21	ATPase Na+/K+ transporting alpha 2 (+) polypepti
209867_s_at	LPHN3	chr4q13	latrophilin 3
220345_at	LRRTM4	chr2p12	leucine rich repeat transmembrane neuronal 4
216672_s_at	MYT1L	chr2p25	myelin transcription factor 1-like
220276_at	FLJ22655	chr12p12	hypothetical protein FLJ22655
219140_s_at	RBP4	chr10q23	retinol binding protein 4 plasma
218332_at	BEX1	chrxq21	brain expressed X-linked 1
221029_s_at	WNT5B	chr12p13	wingless-type MMTV integration site family member
205366_s_at	HOXB6	chr17q21	homeo box B6
220283_at	FLJ13840	chr1q41	hypothetical protein FLJ13840
222262_s_at	ETNK1	chr12p12	ethanolamine kinase 1
218047_at	OSBPL9	chr1p32	oxysterol binding protein-like 9
214295_at	KIAA0485	---	KIAA0485 protein
213822_s_at	UBE3B	chr12q24	ubiquitin protein ligase E3B
202615_at	GNAQ	chr9q21	guanine nucleotide binding protein (G protein) q
203946_s_at	ARG2	chr14q24	arginase type II
204779_s_at	HOXB7	chr17q21	homeo box B7
203062_s_at	MDC1	chr6pter	Mediator of DNA damage checkpoint 1
206683_at	ZNF165	chr6p21	zinc finger protein 165
219522_at	FJX1	chr11p13	four jointed box 1 (Drosophila)
209220_at	GPC3	chrxq26	glypican 3
203440_at	CDH2	chr18q11	cadherin 2 type 1 N-cadherin (neuronal)
219487_at	FLJ23560	chr12q21	hypothetical protein FLJ23560
204976_s_at	AMMECR1	chrxq22	Alport syndrome mental retardation midface hypop
204417_at	GALC	chr14q31	galactosylceramidase (Krabbe disease)
212888_at	DICER1	chr14q32	Dicer1 Dcr-1 homolog (Drosophila)
208097_s_at	TXNDC	chr14q22	thioredoxin domain containing
205909_at	POLE2	chr14q21	polymerase (DNA directed) epsilon 2 (p59 subunit)
203553_s_at	MAP4K5	chr14q11	mitogen-activated protein kinase kinase kinase kin
218276_s_at	SAV1	chr14q13	salvador homolog 1 (Drosophila)
218940_at	C14orf138	chr14q21	chromosome 14 open reading frame 138
203856_at	VRK1	chr14q32	vaccinia related kinase 1
209520_s_at	NCBP1	chr9q34	nuclear cap binding protein subunit 1 80kDa
205415_s_at	ATXN3	chr14q24	ataxin 3
222035_s_at	PAPOLA	chr14q32	poly(A) polymerase alpha
213246_at	C14orf109	chr14q32	Chromosome 14 open reading frame 109
218108_at	C14orf130	chr14q32	chromosome 14 open reading frame 130
202543_s_at	GMFB	chr14q22	glia maturation factor beta
216060_s_at	DAAM1	chr14q23	dishevelled associated activator of morphogenesis
219972_s_at	C14orf135	chr14q23	chromosome 14 open reading frame 135
212460_at	C14orf147	chr14q13	chromosome 14 open reading frame 147
214830_at	SLC38A6	chr14q23	solute carrier family 38 member 6
202668_at	EFNB2	chr13q33	ephrin-B2
201552_at	LAMP1	chr13q34	lysosomal-associated membrane protein 1
220240_s_at	C13orf11	chr13q34	chromosome 13 open reading frame 11
212828_at	SYNJ2	chr6q25	synaptojanin 2
202950_at	CRYZ	chr1p31	crystallin zeta (quinone reductase)
205514_at	ZNF415	chr19q13	zinc finger protein 415
201313_at	ENO2	chr12p13	enolase 2 (gamma neuronal)
205206_at	KAL1	chrxp22	Kallmann syndrome 1 sequence
202116_at	DPF2	chr11q13	D4 zinc and double PHD fingers family 2
217886_at	EPS15	chr1p32	epidermal growth factor receptor pathway substrate
206875_s_at	SLK	chr10q25	STE20-like kinase (yeast)
202565_s_at	SVIL	chr10p11	supervillin
209129_at	TRIP6	chr7q22	thyroid hormone receptor interactor 6
200770_s_at	LAMC1	chr1q31	laminin gamma 1 (formerly LAMB2)
204872_at	TLE4	chr9q21	transducin-like enhancer of split 4 (E(sp1) homolo
205120_s_at	SGCB	chr4q12	sarcoglycan beta (43kDa dystrophin-associated gly
204688_at	SGCE	chr7q21	sarcoglycan epsilon
209656_s_at	TM4SF10	chrxp11	transmembrane 4 superfamily member 10
209185_s_at	IRS2	chr13q34	insulin receptor substrate 2
205542_at	STEAP	chr7q21	six transmembrane epithelial antigen of the prosta
209295_at	TNFRSF10B	chr8p22	tumor necrosis factor receptor superfamily member
203501_at	PGCP	chr8q22	plasma glutamate carboxypeptidase
201889_at	FAM3C	chr7q22	family with sequence similarity 3 member C
205573_s_at	SNX7	chr1p21	sorting nexin 7
203799_at	DCL-1	chr2q24	type I transmembrane C-type lectin receptor DCL-1
201581_at		chr20p12	hypothetical protein DJ971N18.2
218149_s_at	ZNF395	chr8p21	zinc finger protein 395
221478_at	BNIP3L	chr8p21	BCL2/adenovirus E1B 19kDa interacting protein 3-li
209272_at	NAB1	chr2q32	NGFI-A binding protein 1 (EGR1 binding protein 1)
201063_at	RCN1	chr11p13	reticulocalbin 1 EF-hand calcium binding domain
221556_at	CDC14B	chr9q22	CDC14 cell division cycle 14 homolog B (S. cerevis
212589_at	RRAS2	chr11p15	related RAS viral (r-ras) oncogene homolog 2
212698_s_at	10-Sep	chr2q13	septin 10
206272_at	SPHAR	chr1q42	S-phase response (cyclin-related)
213423_x_at	TUSC3	chr8p22	tumor suppressor candidate 3
203404_at	ARMCX2	chrxq21	armadillo repeat containing X-linked 2
218694_at	ARMCX1	chrxq21	armadillo repeat containing X-linked 1
217963_s_at	NGFRAP1	chrxq22	nerve growth factor receptor (TNFRSF16) associated
217975_at	WBP5	chrxq22	WW domain binding protein 5
212526_at	SPG20	chr13q13	spastic paraplegia 20 spartin (Troyer syndrome)
212522_at	PDE8A	chr15q25	phosphodiesterase 8A
205756_s_at	F8	chrxq28	coagulation factor VIII procoagulant component (h
215034_s_at	TM4SF1	chr3q21	transmembrane 4 superfamily member 1
218823_s_at	KCTD9	chr8p21	potassium channel tetramerisation domain containin
218303_x_at	LOC51315	chr2p11	hypothetical protein LOC51315
218096_at	LPAAT-e	chr8p23	acid acyltransferase-epsilon
201578_at	PODXL	chr7q32	podocalyxin-like
211564_s_at	PDLIM4	chr5q31	PDZ and LIM domain 4
221261_x_at	MAGED4	chrxp11	melanoma antigen family D 4
204225_at	HDAC4	chr2q37	histone deacetylase 4
218611_at	IER5	chr1q25	immediate early response 5
202137_s_at	ZMYND11	chr10p14	zinc finger MYND domain containing 11
212107_s_at	DHX9	chr1q25	DEAH (Asp-Glu-Ala-His) box polypeptide 9
202597_at	IRF6	chr1q32	interferon regulatory factor 6
218783_at	DKFZP434B168	chr1p36	DKFZP434B168 protein
201436_at	EIF4E	chr4q21	eukaryotic translation initiation factor 4E
213128_s_at	UBE3A	chr15q11	ubiquitin protein ligase E3A (human papilloma viru
204256_at	ELOVL6	chr4q25	ELOVL family member 6 elongation of long chain fa
211929_at	HNRPA3	chr2q31	heterogeneous nuclear ribonucleoprotein A3
212179_at	C6orf111	chr6q16	chromosome 6 open reading frame 111
212928_at	TSPYL4	chr6q22	TSPY-like 4
201830_s_at	NET1	chr10p15	neuroepithelial cell transforming gene 1
202983_at	SMARCA3	chr3q25	SWI/SNF related matrix associated actin dependen
208051_s_at	PAIP1	chr5p12	poly(A) binding protein interacting protein 1
221727_at	PC4	chr5p13	activated RNA polymerase II transcription cofactor
201518_at	CBX1	chr17q	chromobox homolog 1 (HP1 beta homolog Drosophila )
202179_at	BLMH	chr17q11	bleomycin hydrolase
212287_at	JJAZ1	chr17q11	joined to JAZF1
212676_at	NF1	chr17q11	Neurofibromin 1 (neurofibromatosis von Recklingha
202784_s_at	NNT	chr5p13	nicotinamide nucleotide transhydrogenase
209504_s_at	PLEKHB1	chr11q13	pleckstrin homology domain containing family B (e
200973_s_at	TM4SF8	chr15q24	transmembrane 4 superfamily member 8
219296_at	ZDHHC13	chr11p15	zinc finger DHHC domain containing 13
202853_s_at	RYK	chr3q22	RYK receptor-like tyrosine kinase
204285_s_at	PMAIP1	chr18q21	phorbol-12-myristate-13-acetate-induced protein 1
204354_at	POT1	chr7q31	POT1 protection of telomeres 1 homolog (S. pombe)
212136_at	ATP2B4	chr1q32	ATPase Ca++ transporting plasma membrane 4
217901_at	DSG2	chr18q12	Desmoglein 2
218100_s_at	ESRRBL1	chr3q13	estrogen-related receptor beta like 1
209339_at	SIAH2	chr3q25	seven in absentia homolog 2 (Drosophila)
203344_s_at	RBBP8	chr18q11	retinoblastoma binding protein 8
212825_at	PAXIP1L	chr7q36	PAX transcription activation domain interacting pr
218946_at	HIRIP5	chr2p15	HIRA interacting protein 5
209485_s_at	OSBPL1A	chr18q11	oxysterol binding protein-like 1A
221675_s_at	CHPT1	chr12q	choline phosphotransferase 1
201370_s_at	CUL3	chr2q36	cullin 3
203302_at	DCK	chr4q13	deoxycytidine kinase
203209_at	RFC5	chr12q24	replication factor C (activator 1) 5 36.5kDa
203432_at	TMPO	chr12q22	thymopoietin
211379_x_at	B3GALT3	chr3q25	UDP-Gal:betaGlcNAc beta 13-galactosyltransferase
218395_at	ACTR6	chr12q23	ARP6 actin-related protein 6 homolog (yeast)
217851_s_at	C20orf45	chr20q13	chromosome 20 open reading frame 45
204342_at	SLC25A24	chr1p13	solute carrier family 25 (mitochondrial carrier; p
204791_at	NR2C1	chr12q22	nuclear receptor subfamily 2 group C member 1
212982_at	ZDHHC17	chr12q21	zinc finger DHHC domain containing 17
212200_at	KIAA0692	chr12q24	KIAA0692 protein
203983_at	TSNAX	chr1q42	translin-associated factor X
222103_at	ATF1	chr12q13	activating transcription factor 1
202651_at	FAM34A	chr1p36	Family with sequence similarity 34 member A
204634_at	NEK4	chr3p21	NIMA (never in mitosis gene a)-related kinase 4
217894_at	KCTD3	chr1q41	potassium channel tetramerisation domain containin
218311_at	MAP4K3	chr2p22	mitogen-activated protein kinase kinase kinase kin
220992_s_at	C1orf25	chr1q25	chromosome 1 open reading frame 25
213701_at	DKFZp434N2030	chr12q21	Hypothetical protein DKFZp434N2030
218477_at	TMEM14A	chr6p12	transmembrane protein 14A
217976_s_at	DNCLI1	chr3p23	dynein cytoplasmic light intermediate polypeptid
206414_s_at	DDEF2	chr2p25	development and differentiation enhancing factor 2
218499_at	MST4	chrxq26	Mst3 and SOK1-related kinase
213145_at	FBXL14	chr12p13	F-box and leucine-rich repeat protein 14
209300_s_at	DKFZP566B183	chr12p13	DKFZP566B183 protein
217821_s_at	WBP11	chr12p12	WW domain binding protein 11
209112_at	CDKN1B	chr12p13	cyclin-dependent kinase inhibitor 1B (p27 Kip1)
212943_at	KIAA0528	chr12p12	KIAA0528 gene product
220952_s_at	PLEKHA5	chr12p12	pleckstrin homology domain containing family A me
218545_at	FLJ11088	chr12p11	GGA binding partner
212918_at	RECQL	chr12p12	RecQ protein-like (DNA helicase Q1-like)
218102_at	CGI-26	chr12p12	CGI-26 protein
218111_s_at	CMAS	chr12p12	cytidine monophosphate N-acetylneuraminic acid syn
218158_s_at	APPL	chr3p21	adaptor protein containing pH domain PTB domain a
211137_s_at	ATP2C1	chr3q22	ATPase Ca++ transporting type 2C member 1
205664_at	KIN	chr10p15	KIN antigenic determinant of recA protein homolog
213704_at	RABGGTB	chr1p31	Rab geranylgeranyltransferase beta subunit
212628_at	PKN2	chr1p22	Protein kinase N2
218932_at	FLJ20729	chr1p22	hypothetical protein FLJ20729
218643_s_at	CRIPT	chr2p21	postsynaptic protein CRIPT
218446_s_at	FAM18B	chr17p11	family with sequence similarity 18 member B
202387_at	BAG1	chr9p12	BCL2-associated athanogene
214722_at	N2N	chr1q21	similar to NOTCH2 protein
219174_at	CCDC2	chr9p21	coiled-coil domain containing 2
221088_s_at	PPP1R9A	chr7q21	Protein phosphatase 1 regulatory (inhibitor) subu
217964_at	TTC19	chr17p12	tetratricopeptide repeat domain 19
209258_s_at	CSPG6	chr10q25	chondroitin sulfate proteoglycan 6 (bamacan)
201911_s_at	FARP1	chr13q32	FERM RhoGEF (ARHGEF) and pleckstrin domain protei
205174_s_at	QPCT	chr2p22	glutaminyl-peptide cyclotransferase (glutaminyl cy
202812_at	GAA	chr17q25	glucosidase alpha; acid (Pompe disease glycogen
213346_at	LOC93081	chr13q33	hypothetical protein BC015148
212773_s_at	TOMM20	chr1q42	translocase of outer mitochondrial membrane 20 hom
212371_at	PNAS-4	chr1q44	CGI-146 protein
218594_at	FLJ10359	chr1q43	Protein BAP28
201424_s_at	CUL4A	chr13q34	cullin 4A
202717_s_at	CDC16	chr13q34	CDC16 cell division cycle 16 homolog (S. cerevisia
203690_at	TUBGCP3	chr13q34	tubulin gamma complex associated protein 3
212330_at	TFDP1	chr13q34	transcription factor Dp-1
208854_s_at	STK24	chr13q31	serine/threonine kinase 24 (STE20 homolog yeast)
219940_s_at	FLJ11305	chr13q34	hypothetical protein FLJ11305
211953_s_at	RANBP5	chr13q32	RAN binding protein 5
219303_at	C13orf7	chr13q31	chromosome 13 open reading frame 7
206958_s_at	UPF3A	chr13q34	UPF3 regulator of nonsense transcripts homolog A (
217940_s_at	FLJ10769	chr13q34	hypothetical protein FLJ10769
218067_s_at	FLJ10154	chr13q33	hypothetical protein FLJ10154
212538_at	DOCK9	chr13q32	dedicator of cytokinesis 9
202778_s_at	ZNF198	chr13q11	zinc finger protein 198
218371_s_at	PSPC1	chr13q12	paraspeckle component 1
212410_at	EFHA1	chr13q12	EF hand domain family A1
218352_at	RCBTB1	chr13q14	regulator of chromosome condensation (RCC1) and BT
215136_s_at	EXOSC8	chr13q13	exosome component 8
211711_s_at	PTEN	chr10q23	phosphatase and tensin homolog (mutated in multipl
213581_at	PDCD2	chr6q27	programmed cell death 2
216199_s_at	MAP3K4	chr6q26	mitogen-activated protein kinase kinase kinase 4
218258_at	POLR1D	chr13q12	polymerase (RNA) I polypeptide D 16kDa
212922_s_at	SMYD2	chr1q41	SET and MYND domain containing 2
212402_at	KIAA0853	chr13q14	KIAA0853
221502_at	KPNA3	chr13q14	karyopherin alpha 3 (importin alpha 4)
215009_s_at	SEC31L1	chr4q21	SEC31-like 1 (S. cerevisiae)
200778_s_at	NEDD5	chr2q37	neural precursor cell expressed developmentally d
212749_s_at	RCHY1	chr4q21	ring finger and CHY zinc finger domain containing
204547_at	RAB40B	chr17q25	RAB40B member RAS oncogene family
209471_s_at	FNTA	chr8p22	farnesyltransferase CAAX box alpha
214948_s_at	TMF1	chr3p21	TATA element modulatory factor 1
210059_s_at	MAPK13	chr6p21	mitogen-activated protein kinase 13
