Up/down	Gene symbol	Gene name	Reporter	Accession number	Fisher score
Up	USP1	Ubiquitin specific protease 1	H200004286	NM_003368	0.582586897
Up	DUSP11	Dual specificity phosphatase 11 (R/RNP complex 1-interacting)	H200002400	NM_003584	0.58249466
Down	KCNK17	Potassium channel, subfamily K, member 17	H200007543	NM_031460	-0.582002345
Down	CDC34	Cell division cycle 34	H200006347	NM_004359	-0.581932453
Up	ORMDL1	ORM1-like 1 (S. cerevisiae)	H200001510	NM_016467	0.581097614
Down	HDHD1A	Haloacid dehalogenase-like hydrolase domain containing 1A	H200015355	AK022479	-0.580140467
Up	CALM1	Calmodulin 1 (phosphorylase kinase, delta)	H200008281	NM_006888	0.5799725
Down	PARP10	Poly (ADP-ribose) polymerase family, member 10	H200020305	NM_032789	-0.579805072
Up	POP7	Processing of precursor 7, ribonuclease P subunit (S. cerevisiae)	H200002759	NM_005837	0.579379609
Up	GSDML	Gasdermin-like	H200002789	NM_018530	0.578923768
Up	PCF11	Pre-mR cleavage complex II protein Pcf11	H200012473	AB020631	0.578727079
Up	C14orf11	Chromosome 14 open reading frame 11	H200001477	NM_018453	0.578510534
Up	DNCLI1	Dynein, cytoplasmic, light intermediate polypeptide 1	H200016571	NM_016141	0.578432623
Up	CCNE2	Cyclin E2	H200004003	NM_057749	0.577924044
Up	TIMM8A	Translocase of inner mitochondrial membrane 8 homolog A (yeast)	H200012569	NM_004085	0.577834478
Up	IVNS1ABP	Influenza virus NS1A binding protein	H200014756	AF205218	0.577727838
Up	SEC63	SEC63-like (S. cerevisiae)	H200004103	NM_007214	0.577429228
Up	CLK1	CDC-like kinase 1	H200000533	AK025306	0.576985859
Up	SYAP1	Synapse associated protein 1, SAP47 homolog (Drosophila)	H200004839	NM_032796	0.576257134
Up	APBA2	Amyloid beta (A4) precursor protein-binding, family A, member 2 (X11-like)	H200003645	NM_005503	0.575997881
Down	ACHE	Acetylcholinesterase (YT blood group)	H200013974	NM_015831	-0.575380004
Down	ZCCHC6	Zinc finger, CCHC domain containing 6	H200017193	AK058021	-0.575141483
Up	POLD2	Polymerase (D directed), delta 2, regulatory subunit 50kDa	H200005971	NM_006230	0.575077484
Down	PDLIM2	PDZ and LIM domain 2 (mystique)	H200002826	AK024498	-0.574151561
Up	SSX3	Synovial sarcoma, X breakpoint 3	H200008340	NM_021014	0.574115121
Down	FL	Filamin A, alpha (actin binding protein 280)	H200014710	NM_001456	-0.573750791
Down	LOC116412	Hypothetical protein BC012365	H200015240	BC012365	-0.573662072
Down	LMAN2L	Lectin, mannose-binding 2-like	H200002749	NM_030805	-0.573420877
Down	MGC17791	Hypothetical protein MGC17791	H200014410	BC017672	-0.573414445
Down	PLS3	Plastin 3 (T isoform)	H200000877	NM_005032	-0.573291248
Up	TACC1	Transforming, acidic coiled-coil containing protein 1	H200008118	NM_006283	0.573225719
Down	ELA1	Elastase 1, pancreatic	H200020244	NM_001971	-0.572974672
Up	LOC51315	Hypothetical protein LOC51315	H200001094	NM_016618	0.572971557
Up	NPIP	Nuclear pore complex interacting protein	H200016310	NM_006985	0.57279601
Up	ZNF8	Zinc finger protein 8 (clone HF.18)	H200000532	M29581	0.572778938
Up	MAP3K7	Mitogen-activated protein kinase kinase kinase 7	H200001446	NM_003188	0.57252441
Up	SRRM1	Serine/arginine repetitive matrix 1	H200002712	NM_005839	0.572437369
Up	UCKL1	Uridine-cytidine kinase 1-like 1	H200004463	NM_017859	0.572274087
Down	S100A6	S100 calcium binding protein A6 (calcyclin)	H200017198	NM_014624	-0.571573478
Up	PBX4	Pre-B-cell leukemia transcription factor 4	H200012108	NM_025245	0.571467572
Down	TFPI	Tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	H200007928	NM_006287	-0.571080026
Down	SPC3	Small nuclear R activating complex, polypeptide 3, 50kDa	H200007608	NM_003084	-0.570605975
Up	UBE2L3	Ubiquitin-conjugating enzyme E2L 3	H200011550	NM_003347	0.569860412
Up	ZNF313	Zinc finger protein 313	H200001921	BC013695	0.569505527
Up	KIAA1393	KIAA1393	H200004231	AB037814	0.569330345
Up	8D6A	8D6 antigen	H200011428	NM_016579	0.56841395
Down	STOML1	Stomatin (EPB72)-like 1	H200014695	NM_004809	-0.568400852
Up	VAPA	VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa	H200001722	NM_003574	0.568066945
Up	GPSN2	Glycoprotein, synaptic 2	H200018210	NM_004868	0.56738232
Up	MRPS14	Mitochondrial ribosomal protein S14	H200015865	NM_022100	0.56689043
Up	PIK3C2B	Phosphoinositide-3-kinase, class 2, beta polypeptide	H200013011	NM_002646	0.565724213
Up	GK001	GK001 protein	H200001620	NM_020198	0.565471793
Down	LOC56930	Hypothetical protein from EUROIMAGE 1669387	H200001882	AL365410	-0.56476906
Down	MGC19780	Hypothetical protein MGC19780	H200012477	BC011706	-0.564221703
Down	C1QL1	Complement component 1, q subcomponent-like 1	H200013101	NM_006688	-0.563267464
Down	TXNDC	Thioredoxin domain containing	H200003442	AL080080	-0.562937068
Up	TJP1	Tight junction protein 1 (zona occludens 1)	H200005973	NM_003257	0.56241104
Down	SH3MD2	SH3 multiple domains 2	H200017958	AB040927	-0.56214007
Up	HLA-C	Major histocompatibility complex, class I, C	H200017888	Y10520	0.561532159
Down	MAST3	Microtubule associated serine/threonine kinase 3	H200008174	AB011133	-0.561449146
Down	Prostein	Prostein protein	H200017342	NM_033102	-0.560587655
Up	HSPCA	Heat shock 90kDa protein 1, alpha	H200009481	AK056446	0.559994393
Down	NUCKS	Nuclear ubiquitous casein kinase and cyclin-dependent kinase substrate	H200012080	NM_022731	-0.559966571
Up	FLJ20186	Hypothetical protein FLJ20186	H200005560	NM_017702	0.559750404
Up	RNF146	Ring finger protein 146	H200016587	AL136829	0.559691149
Down	NS3TP2	HCV NS3-transactivated protein 2	H200015544	NM_023927	-0.55953475
Down	KIAA0605	KIAA0605 gene product	H200014889	NM_014694	-0.55945663
Down	HEMGN	Hemogen	H200008246	NM_018437	-0.559441743
Down	FLJ12476	Hypothetical protein FLJ12476	H200010269	NM_022784	-0.559262544
Up	LOC283981	Hypothetical protein LOC283981	H200009047	AK023454	0.558966287
Up	NDUFS3	DH dehydrogenase (ubiquinone) Fe-S protein 3, 30kDa (DH-coenzyme Q reductase)	H200001021	NM_004551	0.558635059
Up	RIT1	Ras-like without CAAX 1	H200010725	NM_006912	0.558613361
Up	BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)	H200014019	NM_001706	0.558338962
Up	ANP32E	Acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	H200005738	NM_030920	0.558309121
Down	CCL2	Chemokine (C-C motif) ligand 2	H200018176	NM_002982	-0.557906583
Down	C2orf7	Chromosome 2 open reading frame 7	H200005422	NM_032319	-0.557901715
Up	LOC134492	Similar to RIKEN cD 2700047N05	H200011425	BC017934	0.557759303
Up	ADK	Adenosine kinase	H200010643	NM_006721	0.556089752
Down	LIPA	Lipase A, lysosomal acid, cholesterol esterase (Wolman disease)	H200007144	NM_000235	-0.555725887
Up	ACLY	ATP citrate lyase	H200008204	NM_001096	0.555598035
Up	PPIL4	Peptidylprolyl isomerase (cyclophilin)-like 4	H200001965	BC016984	0.555267513
Down	MGC3207	Hypothetical protein MGC3207	H200002226	AK026666	-0.555166647
Down	DKFZP434K0	Hypothetical protein DKFZp434K046	H200000904	AF161444	-0.554405531
Up	SYBL1	Synaptobrevin-like 1	H200003374	NM_005638	0.554259611
Up	RELB	V-rel reticuloendotheliosis viral oncogene homolog B, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3 (avian)	H200000231	NM_006509	0.554055542
Down	VAMP1	Vesicle-associated membrane protein 1 (synaptobrevin 1)	H200002865	NM_016830	-0.55393093
Up	ANXA11	Annexin A11	H200006119	NM_001157	0.553562196
Up	SP100	Nuclear antigen Sp100	H200010186	AF056322	0.55354882
Down	ELMO1	Engulfment and cell motility 1 (ced-12 homolog, C. elegans)	H200004093	AL136787	-0.553059091
Up	NDUFS6	DH dehydrogenase (ubiquinone) Fe-S protein 6, 13kDa (DH-coenzyme Q reductase)	H200004952	NM_004553	0.552874077
Up	GRP58	Glucose regulated protein, 58kDa	H200009487	NM_005313	0.551437961
Down	SON	SON D binding protein	H200010554	NM_003103	-0.550981859
Up	FLJ32859	Hypothetical protein FLJ32859	H200021141	AK057421	0.549695257
Up	PCCB	Propionyl Coenzyme A carboxylase, beta polypeptide	H200005528	NM_000532	0.549679779
Up	PEX19	Peroxisomal biogenesis factor 19	H200007770	NM_002857	0.549476128
Up	TP53RK	TP53 regulating kinase	H200017627	BC010637	0.54800824
Down	LOC148203	Similar to zinc finger protein 91 (HPF7, HTF10)	H200007288	AK027579	-0.547774975
Down	KIAA0674	KIAA0674	H200002412	AB014574	-0.547268085
Up	DDX11	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 (CHL1-like helicase homolog, S. cerevisiae)	H200003767	NM_030655	0.546239225
Up	PGRMC1	Progesterone receptor membrane component 1	H200010411	NM_006667	0.546200176
Up	MRLC2	Myosin regulatory light chain MRLC2	H200008415	NM_033546	0.545816208
Down	C5orf14	Chromosome 5 open reading frame 14	H200011454	AK056512	-0.545813581
Down	TUBG2	Tubulin, gamma 2	H200017466	NM_016437	-0.545599588
Down	MAGEL2	MAGE-like 2	H200013337	NM_019066	-0.545248719
Up	MTMR6	Myotubularin related protein 6	H200006724	AF072928	0.545181434
Up	PRDX6	Peroxiredoxin 6	H200000039	NM_004905	0.545091684
Up	WBP4	WW domain binding protein 4 (formin binding protein 21)	H200003828	NM_007187	0.544971312
Up	MGC11308	Hypothetical protein MGC11308	H200002804	NM_032889	0.5448163
Down	HOXA9	Homeo box A9	H200012682	BC010023	-0.544392732
Up	SMARCAL1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a-like 1	H200002613	NM_014140	0.54390594
Down	GBP5	Guanylate binding protein 5	H200015603	NM_052942	-0.543860401
Up	FLJ30525	Hypothetical protein FLJ30525	H200001542	AK055087	0.543753889
Down	MGMT	O-6-methylguanine-D methyltransferase	H200000362	NM_002412	-0.54353982
Up	KP2	Karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	H200007468	NM_002266	0.542647738
Up	C14orf135	Chromosome 14 open reading frame 135	H200003158	AK023008	0.542568319
Up	HIRA	HIR histone cell cycle regulation defective homolog A (S. cerevisiae)	H200008043	NM_003325	0.541478663
Down	IGFALS	Insulin-like growth factor binding protein, acid labile subunit	H200000222	NM_004970	-0.541049404
Down	CDKN1A	Cyclin-dependent kinase inhibitor 1A (p21, Cip1)	H200008365	NM_000389	-0.541048828
Down	MEF2A	MADS box transcription enhancer factor 2, polypeptide A (myocyte enhancer factor 2A)	H200008575	NM_005587	-0.541032038
Up	PTHLH	Parathyroid hormone-like hormone	H200010365	NM_002820	0.540784183
Up	NDUFA4	DH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa	H200004966	NM_002489	0.540530616
Down	SLC35A3	Solute carrier family 35 (UDP-N-acetylglucosamine (UDP-Glcc) transporter), member A3	H200007422	NM_012243	-0.540509085
Down	SYNE2	Spectrin repeat containing, nuclear envelope 2	H200005272	AF435011	-0.540478968
Up	MGC23909	Hypothetical protein MGC23909	H200001893	AK055070	0.539872382
Up	ZNF12	Zinc finger protein 12 (KOX 3)	H200001278	AK055709	0.539740782
Down	KIAA1542	CTD-binding SR-like protein rA9	H200012902	AB040975	-0.539411941
Down	FLJ14803	Hypothetical protein FLJ14803	H200016592	NM_032842	-0.539338264
Up	RCHY1	Ring finger and CHY zinc finger domain containing 1	H200004866	AF255666	0.539307857
Down	EZH1	Enhancer of zeste homolog 1 (Drosophila)	H200014643	BC015882	-0.538168425
Up	ASNS	Asparagine synthetase	H200006172	NM_001673	0.538114163
Down	C10orf91	Chromosome 10 open reading frame 91	H300007529	NM_173541	-0.537958964
Up	VPS29	Vacuolar protein sorting 29 (yeast)	H200005662	NM_057180	0.536606345
Up	SH3GLB1	SH3-domain GRB2-like endophilin B1	H200013208	AB007960	0.536462293
Up	TUBG1	Tubulin, gamma 1	H200003054	NM_001070	0.536287306
Down	PPP1R16A	Protein phosphatase 1, regulatory (inhibitor) subunit 16A	H200002081	NM_032902	-0.535970728
Up	DUSP12	Dual specificity phosphatase 12	H200004683	NM_007240	0.535593947
Up	PG	N-ethylmaleimide-sensitive factor attachment protein, gamma	H200001380	AK023725	0.53516223
Down	KIFC2	Kinesin family member C2	H200010549	BC017311	-0.535059583
Down	NRIP1	Nuclear receptor interacting protein 1	H200014017	NM_003489	-0.53471285
Up	MMD	Monocyte to macrophage differentiation-associated	H200006727	NM_012329	0.534497541
Up	ASCC3L1	Activating signal cointegrator 1 complex subunit 3-like 1	H200015838	AK024391	0.534127453
Up	HMG20A	High-mobility group 20A	H200005688	NM_018200	0.534030574
Down	PALM2-AKAP	PALM2-AKAP2 protein	H200004569	AJ303079	-0.53347382
Down	GBP2	Guanylate binding protein 2, interferon-inducible	H200007999	NM_004120	-0.533329692
Down	COL5A3	Collagen, type V, alpha 3	H200015541	NM_015719	-0.533108122
Up	ALG2	Asparagine-linked glycosylation 2 homolog (yeast, alpha-1,3-mannosyltransferase)	H200004499	NM_033087	0.532986761
Up	PDZRN3	PDZ domain containing RING finger 3	H200008280	AB029018	0.532890411
Down	CML66	Chronic myelogenous leukemia tumor antigen 66	H200014720	AF283301	-0.532116132
Down	VN1R1	Vomeronasal 1 receptor 1	H200008908	NM_020633	-0.532021314
Up	LOC155435	Hypothetical protein LOC155435	H200002635	AK055460	0.530936003
Down	CCPG1	Phosphatidylinositol glycan, class B	H200020108	AK022459	-0.530548535
Down	HLA-F	Major histocompatibility complex, class I, F	H200011688	NM_018950	-0.529928851
Up	FLJ31528	Hypothetical protein FLJ31528	H200005608	AK056090	0.529917587
Down	MAP2K4	Mitogen-activated protein kinase kinase 4	H200006034	NM_003010	-0.529741393
Up	PTPLA	Protein tyrosine phosphatase-like (proline instead of catalytic arginine), member a	H200011904	NM_014241	0.529148636
Up	HOXD4	Homeo box D4	H200017247	NM_014621	0.529133643
Down	LU	Lutheran blood group (Auberger b antigen included)	H200014021	NM_005581	-0.529101596
Down	FLJ39370	Hypothetical protein FLJ39370	H300005324	NM_152400	-0.527983559
Up	VEGFB	Vascular endothelial growth factor B	H200006553	NM_003377	0.526943402
Down	HLA-DPB1	Major histocompatibility complex, class II, DP beta 1	H200000212	NM_002121	-0.526613044
Up	DKFZp434J0	Hypothetical gene DKFZp434J0226	H200013600	AL137376	0.526576633
Up	C20orf106	Chromosome 20 open reading frame 106	H200017885	BI519926	0.526062887
Up	PHIP	Pleckstrin homology domain interacting protein	H200001889	AL161957	0.524119407
Up	MRPL9	Mitochondrial ribosomal protein L9	H200009416	NM_031420	0.524061063
Down	ZNF135	Zinc finger protein 135 (clone pHZ-17)	H200007473	NM_003436	-0.523762583
Down	GPRASP2	G protein-coupled receptor associated sorting protein 2	H200020271	BC013576	-0.523701113
Up	GLUL	Glutamate-ammonia ligase (glutamine synthase)	H200007913	AL161952	0.523529958
Up	IREB2	Iron-responsive element binding protein 2	H200009643	AK027033	0.523348087
Down	C14orf123	Chromosome 14 open reading frame 123	H200017480	NM_014169	-0.523264403
Up	ARID5B	AT rich interactive domain 5B (MRF1-like)	H200002171	AL049471	0.5232422
Down	ATP6V1A	ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A	H200017597	AF113129	-0.523193389
Up	LRRC8	Leucine rich repeat containing 8	H200008145	AB037858	0.523065993
Down	ACTRT1	Actin-related protein T1	H200020337	BC014597	-0.522981257
Up	SH3BGRL	SH3 domain binding glutamic acid-rich protein like	H200002374	NM_003022	0.522963787
Up	RAB4A	RAB4A, member RAS oncogene family	H200012177	BC004309	0.522594867
Up	THAP11	THAP domain containing 11	H200006949	BC012182	0.522413976
Up	TXN	Thioredoxin	H200019797	AF065241	0.522042575
Up	NDUFB8	DH dehydrogenase (ubiquinone) 1 beta subcomplex, 8, 19kDa	H200014797	NM_005004	0.521816698
Up	GPR92	G protein-coupled receptor 92	H200019292	NM_020400	0.521581394
Up	SOX18	SRY (sex determining region Y)-box 18	H200010091	NM_018419	0.52135421
Up	PGBD1	PiggyBac transposable element derived 1	H200013458	NM_032507	0.521300072
Up	NDUFA1	DH dehydrogenase (ubiquinone) 1 alpha subcomplex, 1, 7.5kDa	H200005986	NM_004541	0.521235788
Up	IMP-1	IGF-II mR-binding protein 1	H200003436	AK022784	0.520843091
Down	PABPC4	Poly(A) binding protein, cytoplasmic 4 (inducible form)	H200007875	NM_003819	-0.519976052
Down	HLA-DPA1	Major histocompatibility complex, class II, DP alpha 1	H200000241	NM_033554	-0.519677224
Up	PELI1	Pellino homolog 1 (Drosophila)	H200001516	NM_020651	0.519194069
Up	TIEG	TGFB inducible early growth response	H200006902	NM_005655	0.519114529
Down	GALNT2	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (Galc-T2)	H200012890	NM_004481	-0.519017281
Down	ITM2B	Integral membrane protein 2B	H200015671	NM_021999	-0.518592012
Down	SAP30	Sin3-associated polypeptide, 30kDa	H200002954	NM_003864	-0.517640958
Down	NR1D1	Nuclear receptor subfamily 1, group D, member 1	H200017216	NM_021724	-0.517522734
Up	HIST2H2BE	Histone 2, H2be	H200000553	NM_003528	0.517360975
Up	ITGB3BP	Integrin beta 3 binding protein (beta3-endonexin)	H200006883	NM_014288	0.517350974
Up	HNRPH3	Heterogeneous nuclear ribonucleoprotein H3 (2H9)	H200017468	NM_012207	0.517336992
Up	C10orf104	Chromosome 10 open reading frame 104	H300008676	NM_173473	0.517092573
Down	SLC35E3	Solute carrier family 35, member E3	H200012583	NM_018656	-0.51656589
Up	ALDH2	Aldehyde dehydrogenase 2 family (mitochondrial)	H200014708	NM_000690	0.516522629
Up	HDAC2	Histone deacetylase 2	H200000774	NM_001527	0.516341444
Up	BLCAP	Bladder cancer associated protein	H200001027	NM_006698	0.515965638
Up	POLR2I	Polymerase (R) II (D directed) polypeptide I, 14.5kDa	H200004824	NM_006233	0.515936714
Down	FLJ21749	Hypothetical protein FLJ21749	H200009353	NM_025124	-0.515909371
Up	LACTB	Lactamase, beta	H200009597	NM_032857	0.515659429
Down	DCP2	Decapping enzyme hDcp2	H300001611	NM_152624	-0.515616229
Down	SEMA4G	Sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4G	H200007836	AB046839	-0.515464036
Up	LRCH1	Leucine-rich repeats and calponin homology (CH) domain containing 1	H200009420	AK023616	0.515391725
Down	LOC151438	Hypothetical protein LOC151438	H200020832	AK055877	-0.515121068
Down	C19orf6	Chromosome 19 open reading frame 6	H200017575	NM_033420	-0.514970166
Up	DST	Dystonin	H200020571	BC016991	0.514860438
Up	SEC61A1	Sec61 alpha 1 subunit (S. cerevisiae)	H200018204	NM_013336	0.514337349
Down	MAST1	Microtubule associated serine/threonine kinase 1	H200015386	AB023190	-0.51400537
Down	PHF1	PHD finger protein 1	H200007674	NM_024165	-0.513476894
Up	C14orf87	Chromosome 14 open reading frame 87	H200009626	NM_016417	0.513413988
Down	CCND3	Cyclin D3	H200007012	NM_001760	-0.513179013
Up	RAB11FIP2	RAB11 family interacting protein 2 (class I)	H200008156	NM_014904	0.512952959
Up	MGC29875	Hypothetical protein MGC29875	H200014677	NM_014388	0.512712302
Up	FXR1	Fragile X mental retardation, autosomal homolog 1	H200006969	NM_005087	0.512544938
Up	HPRP8BP	U5 snRNP-specific 40 kDa protein (hPrp8-binding)	H200001898	NM_004814	0.512393314
Up	MGC21874	Transcriptional adaptor 2 (ADA2 homolog, yeast)-beta	H200001340	BC013164	0.512017068
Up	ODC1	Ornithine decarboxylase 1	H200006032	NM_002539	0.511733844
Up	ZNF267	Zinc finger protein 267	H200013511	NM_003414	0.511396571
Down	MRPL41	Mitochondrial ribosomal protein L41	H300004461	NM_032477	-0.510940826
Down	COX7C	Cytochrome c oxidase subunit VIIc	H200000792	NM_001867	-0.510797185
Down	ZNF529	Zinc finger protein 529	H200003768	AK025110	-0.510657562
Down	CLDN3	Claudin 3	H200003547	NM_001306	-0.510159889
Up	SAE1	SUMO-1 activating enzyme subunit 1	H200017520	NM_005500	0.510050868
Down	KIAA0962	KIAA0962 protein	H200001731	AB023179	-0.50958104
Up	VBP1	Von Hippel-Lindau binding protein 1	H200014807	NM_003372	0.509297774
Up	HCST	Hematopoietic cell signal transducer	H300004886	NM_014266	0.508811601
Down	HYAL3	Hyaluronoglucosaminidase 3	H200012876	NM_003549	-0.508653367
Up	C13orf22	Chromosome 13 open reading frame 22	H200013751	NM_005800	0.508581588
Up	NOLA3	Nucleolar protein family A, member 3 (H/ACA small nucleolar RNPs)	H200002367	NM_018648	0.508514335
Up	CLK2	CDC-like kinase 2	H200005902	NM_003993	0.508442419
Up	IDH3B	Isocitrate dehydrogenase 3 (D+) beta	H200014067	NM_006899	0.508234297
Down	FLJ33979	Hypothetical protein FLJ33979	H300013839	NM_152636	-0.507718829
